RefSeq_Accession	Gene_Name	Expression_Level_(rpkM)	Read_Count	Feature_Length	Total_Mapped_Reads
NM_002220	ITPKA	0.0	0.0	1386	5439248.0
NM_001003806	TARP	0.0	0.0	336	5439248.0
NM_001143986	TLE6	0.320853305104	3.0	1719	5439248.0
NM_003621	PPFIBP2	0.0	0.0	2631	5439248.0
NM_001143980	CCDC154	0.0	0.0	2004	5439248.0
NM_001143981	CHRDL1	0.0	0.0	1377	5439248.0
NM_016648	LARP7	17.4493565894	166.0	1749	5439248.0
NM_016649	ESF1	9.4945463947	132.0	2556	5439248.0
NM_003626	PPFIA1	19.1541155107	376.0	3609	5439248.0
NM_016644	PRR16	2.39047090079	11.0	846	5439248.0
NM_016645	NGRN	25.9059875389	93.0	660	5439248.0
NM_016642	SPTBN5	0.0	0.0	10920	5439248.0
NM_001143989	NBPF4	0.0	0.0	1917	5439248.0
NM_016640	MRPS30	187.748769906	1348.0	1320	5439248.0
NM_016641	GDE1	31.7490143954	172.0	996	5439248.0
NM_001080821	ZNF799	2.85479726436	30.0	1932	5439248.0
NM_017418	DEC1	0.0	0.0	213	5439248.0
NM_001080825	TMEM120B	11.5356200047	64.0	1020	5439248.0
NM_001008781	FAT3	0.0	0.0	13674	5439248.0
NM_001080826	PRAGMIN	9.30383108449	213.0	4209	5439248.0
NM_018139	C14orf104	6.87422462988	94.0	2514	5439248.0
NM_002854	PVALB	0.0	0.0	333	5439248.0
NM_001003803	ATP5S	19.5765079072	69.0	648	5439248.0
NM_001007532	STH	0.0	0.0	387	5439248.0
NM_144582	TEX261	46.040006237	148.0	591	5439248.0
NM_205859	OR2K2	0.0	0.0	951	5439248.0
NM_001003800	BICD2	10.4524711053	146.0	2568	5439248.0
NM_001007533	DYSFIP1	0.0	0.0	465	5439248.0
NM_205854	SFTA2	0.0	0.0	237	5439248.0
NM_017840	MRPL16	84.3856924698	347.0	756	5439248.0
NM_205850	SLC24A5	0.0	0.0	1503	5439248.0
NM_205853	MUSTN1	0.0	0.0	249	5439248.0
NM_205852	CLEC12B	0.0	0.0	699	5439248.0
NM_207119	LRRC20	4.30637165715	13.0	555	5439248.0
NM_181777	UBE2A	371.626283885	473.0	234	5439248.0
NM_004108	FCN2	0.0	0.0	942	5439248.0
NM_004109	FDX1	29.8133422418	90.0	555	5439248.0
NM_004106	FCER1G	0.0	0.0	261	5439248.0
NM_001464	ADAM2	0.0	0.0	2208	5439248.0
NM_004105	EFEMP1	387.670681142	3125.0	1482	5439248.0
NM_004102	FABP3	16.4640845216	36.0	402	5439248.0
NM_001463	FRZB	0.0	0.0	978	5439248.0
NM_001145316	DSN1	88.0620991429	513.0	1071	5439248.0
NM_007103	NDUFV1	151.296478502	1148.0	1395	5439248.0
NM_007102	GUCA2B	0.0	0.0	339	5439248.0
NM_007101	SARDH	0.0	0.0	2757	5439248.0
NM_007100	ATP5I	575.184552823	657.0	210	5439248.0
NM_007107	SSR3	464.894013865	1411.0	558	5439248.0
NM_007106	UBL3	55.0508136876	106.0	354	5439248.0
NM_007105	SLC22A18AS	0.0	0.0	762	5439248.0
NM_181435	C1QTNF3	0.0	0.0	960	5439248.0
NM_000339	SLC12A3	0.0	0.0	3093	5439248.0
NM_000338	SLC12A1	0.0	0.0	3300	5439248.0
NM_007109	TCF19	8.67880370656	49.0	1038	5439248.0
NM_000484	APP	246.80111136	3105.0	2313	5439248.0
NM_000483	APOC2	0.0	0.0	306	5439248.0
NM_000482	APOA4	0.0	0.0	1191	5439248.0
NM_000481	AMT	0.0	0.0	1212	5439248.0
NM_016643	ZNF771	11.7555404332	61.0	954	5439248.0
NM_030615	KIF25	0.0	0.0	1155	5439248.0
NM_207112	HAGHL	23.1653881108	110.0	873	5439248.0
NM_001425	EMP3	490.263850199	1312.0	492	5439248.0
NM_001012968	SPIN4	94.1306592382	384.0	750	5439248.0
NM_030613	ZFP2	0.0	0.0	1386	5439248.0
NM_005801	EIF1	1093.95497276	2035.0	342	5439248.0
NM_001012961	C1orf84	0.342363023882	1.0	537	5439248.0
NM_001012967	DDX60L	2.04635614099	57.0	5121	5439248.0
NM_014174	THYN1	68.6043993918	253.0	678	5439248.0
NM_001012964	KLK6	0.0	0.0	735	5439248.0
NM_003824	FADD	86.2066817933	294.0	627	5439248.0
NM_012188	FOXI1	0.0	0.0	1137	5439248.0
NM_003826	NAPG	41.5079617581	212.0	939	5439248.0
NM_003827	NAPA	204.345616616	987.0	888	5439248.0
NM_003820	TNFRSF14	0.0	0.0	852	5439248.0
NM_003821	RIPK2	24.5811588478	217.0	1623	5439248.0
NM_003795	SNX3	445.523514176	1185.0	489	5439248.0
NM_012181	FKBP8	104.950806096	709.0	1242	5439248.0
NM_012180	FBXO8	4.59622359561	24.0	960	5439248.0
NM_012183	FOXD3	0.0	0.0	1437	5439248.0
NM_012182	FOXB1	0.0	0.0	978	5439248.0
NM_003828	MTMR1	24.108319961	262.0	1998	5439248.0
NM_012184	FOXD4L1	0.0	0.0	1227	5439248.0
NM_012186	FOXE3	0.0	0.0	960	5439248.0
NM_020733	HEG1	30.5084595638	688.0	4146	5439248.0
NM_001083335	ZFP112	3.35246068243	50.0	2742	5439248.0
NM_020731	AHRR	0.936267769477	11.0	2160	5439248.0
NM_001861	COX4I1	930.059362877	2580.0	510	5439248.0
NM_001146110	MIER1	41.1636628941	356.0	1590	5439248.0
NM_005806	OLIG2	0.0	0.0	972	5439248.0
NM_020734	RIMKLB	31.5124373997	199.0	1161	5439248.0
NM_020739	CCPG1	77.1292402852	954.0	2274	5439248.0
NM_005807	PRG4	0.0	0.0	4215	5439248.0
NM_004975	KCNB1	0.0	0.0	2577	5439248.0
NM_001080824	LOC129293	11.8006616022	88.0	1371	5439248.0
NM_144646	IGJ	0.0	0.0	480	5439248.0
NM_144647	CAPSL	0.0	0.0	627	5439248.0
NM_144644	SPATA4	0.0	0.0	918	5439248.0
NM_000156	GAMT	11.3774311228	44.0	711	5439248.0
NM_144642	SYNPR	0.0	0.0	798	5439248.0
NM_144643	SCLT1	21.9693706457	247.0	2067	5439248.0
NM_001161546	LOC389333	0.0	0.0	3048	5439248.0
NM_000152	GAA	7.52372382913	117.0	2859	5439248.0
NM_004973	JARID2	5.40587645568	110.0	3741	5439248.0
NM_001008783	SLC35D3	0.0	0.0	1251	5439248.0
NM_000159	GCDH	21.9166926199	157.0	1317	5439248.0
NM_000158	GBE1	91.7937116393	1053.0	2109	5439248.0
NM_144648	LRGUK	1.48384942554	20.0	2478	5439248.0
NM_144649	TMEM71	0.0	0.0	831	5439248.0
NM_021020	LZTS1	0.0	0.0	1791	5439248.0
NM_021021	SNTB1	1.25067308724	11.0	1617	5439248.0
NM_021023	CFHR3	0.0	0.0	993	5439248.0
NM_021025	TLX3	6.71594315341	32.0	876	5439248.0
NM_001142633	PIK3R5	0.0	0.0	2643	5439248.0
NM_021027	UGT1A9	0.0	0.0	1593	5439248.0
NM_021029	RPL36A	14.8911917116	26.0	321	5439248.0
NM_174856	IDH3B	43.2123585912	165.0	702	5439248.0
NM_015556	SIPA1L1	3.36122722782	99.0	5415	5439248.0
NM_173536	GABRG1	0.0	0.0	1398	5439248.0
NM_004445	EPHB6	0.0	0.0	3066	5439248.0
NM_173535	CLEC4F	0.0	0.0	1770	5439248.0
NM_173533	TDRD5	0.0	0.0	2946	5439248.0
NM_173531	ZNF100	0.677160014087	6.0	1629	5439248.0
NM_015554	GLCE	13.5853858166	137.0	1854	5439248.0
NM_173538	CNBD1	0.0	0.0	1311	5439248.0
NM_001001952	OR5D18	0.0	0.0	942	5439248.0
NM_001001953	OR10G9	0.0	0.0	936	5439248.0
NM_001102445	RGS4	0.0	0.0	909	5439248.0
NM_001001956	OR13C9	0.0	0.0	957	5439248.0
NM_001001957	OR2W3	0.0	0.0	945	5439248.0
NM_001001954	OR5A2	0.0	0.0	975	5439248.0
NM_001001955	OR4C13	0.0	0.0	930	5439248.0
NM_001001958	OR7G3	0.0	0.0	939	5439248.0
NM_001001959	OR11L1	0.0	0.0	969	5439248.0
NM_015559	SETBP1	0.268616699389	7.0	4791	5439248.0
NM_201574	SLC4A3	0.0	0.0	3780	5439248.0
NM_201575	SEZ6L2	3.02715055694	45.0	2733	5439248.0
NM_001011724	HNRNPA1L2	1.90912714252	10.0	963	5439248.0
NM_003353	UCN	0.0	0.0	375	5439248.0
NM_003350	UBE2V2	345.871072401	824.0	438	5439248.0
NM_006271	S100A1	0.0	0.0	285	5439248.0
NM_139343	BIN1	20.1181504185	195.0	1782	5439248.0
NM_006277	ITSN2	7.61525856831	211.0	5094	5439248.0
NM_006274	CCL19	0.0	0.0	297	5439248.0
NM_006275	SFRS6	127.717285613	719.0	1035	5439248.0
NM_001002030	ECHDC1	144.278806909	711.0	906	5439248.0
NM_001002031	ATP5G2	851.755866327	2196.0	474	5439248.0
NM_003358	UGCG	23.5823117817	152.0	1185	5439248.0
NM_003359	UGDH	381.935347945	3085.0	1485	5439248.0
NM_001002034	FAM109B	11.3137811584	48.0	780	5439248.0
NM_001002035	DEFB108B	0.0	0.0	222	5439248.0
NM_001002036	ASTL	0.0	0.0	1296	5439248.0
NM_001145004	LOC727832	0.0	0.0	2253	5439248.0
NM_004810	GRAP2	0.0	0.0	993	5439248.0
NM_004811	LPXN	1.90024748139	12.0	1161	5439248.0
NM_004813	PEX16	21.8218330949	120.0	1011	5439248.0
NM_004814	SNRNP40	106.474900427	622.0	1074	5439248.0
NM_004815	ARHGAP29	15.1993448011	313.0	3786	5439248.0
NM_020199	C5orf15	39.1658151005	170.0	798	5439248.0
NM_004817	TJP2	4.2193152515	82.0	3573	5439248.0
NM_004818	DDX23	72.7782055335	975.0	2463	5439248.0
NM_020196	XAB2	30.7846751731	430.0	2568	5439248.0
NM_020195	SDR39U1	15.424968076	74.0	882	5439248.0
NM_020194	MFF	167.947528858	940.0	1029	5439248.0
NM_020193	C11orf30	4.12258906535	89.0	3969	5439248.0
NM_020192	C7orf36	56.4235378258	209.0	681	5439248.0
NM_020191	MRPS22	65.0176781947	383.0	1083	5439248.0
NM_020190	OLFML3	0.0	0.0	1221	5439248.0
NM_152221	CSNK1E	43.9415141515	299.0	1251	5439248.0
NM_014315	KLHDC2	29.3616249351	195.0	1221	5439248.0
NM_182970	RIMS4	0.0	0.0	810	5439248.0
NM_032961	PCDH10	0.0	0.0	3123	5439248.0
NM_005664	MKRN3	2.05080842849	17.0	1524	5439248.0
NM_006712	FASTK	1.44850683013	13.0	1650	5439248.0
NM_032965	CCL15	0.0	0.0	342	5439248.0
NM_032966	CXCR5	0.0	0.0	984	5439248.0
NM_145119	PJA1	8.27891206664	87.0	1932	5439248.0
NM_003689	AKR7A2	42.0469343747	247.0	1080	5439248.0
NM_205856	SPACA5	0.0	0.0	480	5439248.0
NM_014310	RASD2	0.0	0.0	801	5439248.0
NM_145314	UCMA	0.0	0.0	417	5439248.0
NM_003680	YARS	364.222482284	3144.0	1587	5439248.0
NM_032830	CIRH1A	103.29795097	1158.0	2061	5439248.0
NM_003682	MADD	16.2132159198	436.0	4944	5439248.0
NM_003683	RRP1	103.862715018	783.0	1386	5439248.0
NM_003684	MKNK1	20.3838242438	155.0	1398	5439248.0
NM_003685	KHSRP	132.205982076	1536.0	2136	5439248.0
NM_003687	PDLIM4	0.0	0.0	993	5439248.0
NM_003176	SYCP1	0.0	0.0	2931	5439248.0
NM_003177	SYK	0.0	0.0	1908	5439248.0
NM_003175	XCL2	0.0	0.0	345	5439248.0
NM_003172	SURF1	7.32952599965	36.0	903	5439248.0
NM_001013618	IGLL3	0.0	0.0	675	5439248.0
NM_001127328	ACADM	119.544970515	831.0	1278	5439248.0
NM_006411	AGPAT1	13.1628938654	61.0	852	5439248.0
NM_130434	DPP8	13.2560016121	191.0	2649	5439248.0
NM_001128844	SMARCA4	61.3201675499	1649.0	4944	5439248.0
NM_001127325	MAD2L2	47.6966599545	165.0	636	5439248.0
NM_001127322	CBX5	326.204202411	1022.0	576	5439248.0
NM_001127323	GRM8	0.0	0.0	2727	5439248.0
NM_006418	OLFM4	0.0	0.0	1533	5439248.0
NM_006419	CXCL13	0.0	0.0	330	5439248.0
NM_002889	RARRES2	0.0	0.0	492	5439248.0
NM_001098398	COPA	143.672337786	2893.0	3702	5439248.0
NM_001113347	ECE1	125.068956515	1549.0	2277	5439248.0
NM_002887	RARS	158.816561156	1713.0	1983	5439248.0
NM_002886	RAP2B	56.6201457431	170.0	552	5439248.0
NM_002881	RALB	53.8816550339	182.0	621	5439248.0
NM_002880	RAF1	21.5293062106	228.0	1947	5439248.0
NM_002883	RANGAP1	181.868711436	1745.0	1764	5439248.0
NM_002882	RANBP1	87.373755481	288.0	606	5439248.0
NM_024298	MBOAT7	54.4161778762	420.0	1419	5439248.0
NM_024299	PPDPF	106.579097869	200.0	345	5439248.0
NM_020890	KIAA1524	42.546352342	629.0	2718	5439248.0
NM_004444	EPHB4	20.4069846553	329.0	2964	5439248.0
NM_024292	UBL5	663.346864881	801.0	222	5439248.0
NM_024293	FAM134A	23.6570332127	210.0	1632	5439248.0
NM_024294	C6orf106	25.0050960386	122.0	897	5439248.0
NM_024295	DERL1	167.312266338	688.0	756	5439248.0
NM_024296	CCDC28B	32.6232785891	107.0	603	5439248.0
NM_024297	PHF23	43.2318060974	285.0	1212	5439248.0
NM_032507	PGBD1	1.66447603463	22.0	2430	5439248.0
NM_032505	KBTBD8	0.508994861087	5.0	1806	5439248.0
NM_032504	C2orf21	0.0	0.0	9777	5439248.0
NM_032501	ACSS1	0.177631829782	2.0	2070	5439248.0
NM_001469	XRCC6	225.641927776	2246.0	1830	5439248.0
NM_001081552	SPAG11A	0.0	0.0	327	5439248.0
NM_001081550	THOC2	34.0631878353	886.0	4782	5439248.0
NM_001081551	DEFB103B	0.0	0.0	204	5439248.0
NM_001466	FZD2	10.3942865767	96.0	1698	5439248.0
NM_001010866	TMEM201	11.0714800776	71.0	1179	5439248.0
NM_001004195	OR4F4	0.0	0.0	918	5439248.0
NM_004104	FASN	143.839354139	5896.0	7536	5439248.0
NM_003432	ZNF131	16.2036357269	156.0	1770	5439248.0
NM_001010895	C9orf102	2.23472301984	26.0	2139	5439248.0
NM_002087	GRN	174.357303627	1690.0	1782	5439248.0
NM_001010896	C10orf113	0.0	0.0	438	5439248.0
NM_001010891	MTX3	14.8802127057	76.0	939	5439248.0
