RefSeq_Accession	Gene_Name	Expression_Level_(rpkM)	Read_Count	Feature_Length	Total_Mapped_Reads
NM_002220	ITPKA	0.599283851531	5.0	1386	6019691.0
NM_001003806	TARP	0.0	0.0	336	6019691.0
NM_001143986	TLE6	0.579830658444	6.0	1719	6019691.0
NM_003621	PPFIBP2	0.252560218387	4.0	2631	6019691.0
NM_001143980	CCDC154	0.0828949519183	1.0	2004	6019691.0
NM_001143981	CHRDL1	0.12064014789	1.0	1377	6019691.0
NM_016648	LARP7	31.6286186698	333.0	1749	6019691.0
NM_016649	ESF1	15.0133265735	231.0	2556	6019691.0
NM_003626	PPFIA1	28.7225840382	624.0	3609	6019691.0
NM_016644	PRR16	3.73086074378	19.0	846	6019691.0
NM_016645	NGRN	85.3260347809	339.0	660	6019691.0
NM_016642	SPTBN5	0.136913310696	9.0	10920	6019691.0
NM_001143989	NBPF4	0.173314015278	2.0	1917	6019691.0
NM_016640	MRPS30	130.25434513	1035.0	1320	6019691.0
NM_016641	GDE1	50.5369573737	303.0	996	6019691.0
NM_001080821	ZNF799	0.257952614354	3.0	1932	6019691.0
NM_017418	DEC1	0.0	0.0	213	6019691.0
NM_001080825	TMEM120B	10.4233087777	64.0	1020	6019691.0
NM_001008781	FAT3	0.0242974233793	2.0	13674	6019691.0
NM_001080826	PRAGMIN	10.1038488508	256.0	4209	6019691.0
NM_018139	C14orf104	6.93824812357	105.0	2514	6019691.0
NM_002854	PVALB	0.0	0.0	333	6019691.0
NM_001003803	ATP5S	7.43444911371	29.0	648	6019691.0
NM_001007532	STH	0.0	0.0	387	6019691.0
NM_144582	TEX261	26.1409441268	93.0	591	6019691.0
NM_205859	OR2K2	0.0	0.0	951	6019691.0
NM_001003800	BICD2	12.032163535	186.0	2568	6019691.0
NM_001007533	DYSFIP1	0.0	0.0	465	6019691.0
NM_205854	SFTA2	0.0	0.0	237	6019691.0
NM_017840	MRPL16	42.6290579722	194.0	756	6019691.0
NM_205850	SLC24A5	0.0	0.0	1503	6019691.0
NM_205853	MUSTN1	0.667154552788	1.0	249	6019691.0
NM_205852	CLEC12B	0.0	0.0	699	6019691.0
NM_207119	LRRC20	3.59181586258	12.0	555	6019691.0
NM_181777	UBE2A	107.198051411	151.0	234	6019691.0
NM_004108	FCN2	0.0	0.0	942	6019691.0
NM_004109	FDX1	9.27885764499	31.0	555	6019691.0
NM_004106	FCER1G	0.0	0.0	261	6019691.0
NM_001464	ADAM2	0.0	0.0	2208	6019691.0
NM_004105	EFEMP1	121.06019051	1080.0	1482	6019691.0
NM_004102	FABP3	2.47942512902	6.0	402	6019691.0
NM_001463	FRZB	0.0	0.0	978	6019691.0
NM_001145316	DSN1	32.1075136455	207.0	1071	6019691.0
NM_007103	NDUFV1	74.0699375102	622.0	1395	6019691.0
NM_007102	GUCA2B	0.0	0.0	339	6019691.0
NM_007101	SARDH	0.0	0.0	2757	6019691.0
NM_007100	ATP5I	157.41988212	199.0	210	6019691.0
NM_007107	SSR3	149.449793529	502.0	558	6019691.0
NM_007106	UBL3	21.1171377514	45.0	354	6019691.0
NM_007105	SLC22A18AS	0.436014392767	2.0	762	6019691.0
NM_181435	C1QTNF3	1.55738890916	9.0	960	6019691.0
NM_000339	SLC12A3	0.0	0.0	3093	6019691.0
NM_000338	SLC12A1	0.0	0.0	3300	6019691.0
NM_007109	TCF19	19.524875727	122.0	1038	6019691.0
NM_000484	APP	224.296322275	3123.0	2313	6019691.0
NM_000483	APOC2	0.0	0.0	306	6019691.0
NM_000482	APOA4	0.0	0.0	1191	6019691.0
NM_000481	AMT	0.1370639304	1.0	1212	6019691.0
NM_016643	ZNF771	3.65676221858	21.0	954	6019691.0
NM_030615	KIF25	0.0	0.0	1155	6019691.0
NM_207112	HAGHL	9.32411534773	49.0	873	6019691.0
