Ensembl Gene ID	Ensembl Transcript ID	3' UTR Start	3' UTR End
FBgn0041711	FBtr0082757		
FBgn0041711	FBtr0082757	13409543	13409632
FBgn0032283	FBtr0080129	10686391	10686461
FBgn0032283	FBtr0336850	10686124	10686461
FBgn0042110	FBtr0113346		
FBgn0042110	FBtr0113346	11690386	11690444
FBgn0038207	FBtr0082908		
FBgn0038207	FBtr0082908	14130680	14130763
FBgn0037149	FBtr0078480	22066718	22066967
FBgn0037149	FBtr0334111	22066718	22067216
FBgn0039007	FBtr0084333		
FBgn0039007	FBtr0084333	22700582	22700757
FBgn0039007	FBtr0335007		
FBgn0039007	FBtr0335007	22700582	22700757
FBgn0069913	FBtr0301624		
FBgn0069913	FBtr0301624	24578247	24578347
FBgn0028707	FBtr0342603		
FBgn0028707	FBtr0342603	12097673	12097687
FBgn0028707	FBtr0110911	12097673	12097687
FBgn0028707	FBtr0110911		
FBgn0085287	FBtr0112452		
FBgn0085287	FBtr0112452	19951235	19951347
FBgn0020644	FBtr0076994	6149908	6149960
FBgn0026083	FBtr0305185		
FBgn0026083	FBtr0305185	4125995	4126742
FBgn0026083	FBtr0305180		
FBgn0026083	FBtr0305180	4125995	4128947
FBgn0026083	FBtr0305179		
FBgn0026083	FBtr0305179	4125995	4128947
FBgn0026083	FBtr0305181		
FBgn0026083	FBtr0305181	4125995	4126256
FBgn0026083	FBtr0305184		
FBgn0026083	FBtr0305184	4125995	4128947
FBgn0026083	FBtr0070643		
FBgn0026083	FBtr0070643	4125995	4126742
FBgn0026083	FBtr0345713		
FBgn0026083	FBtr0345713	4125995	4130016
FBgn0026083	FBtr0301124		
FBgn0026083	FBtr0301124	4125995	4128947
FBgn0026083	FBtr0305182		
FBgn0026083	FBtr0305182	4125995	4126256
FBgn0026083	FBtr0305183		
FBgn0026083	FBtr0305183	4125995	4128947
FBgn0026083	FBtr0300931		
FBgn0026083	FBtr0300931	4125995	4126256
FBgn0023090	FBtr0081516		
FBgn0023090	FBtr0081516	21367200	21367288
FBgn0020643	FBtr0076992	6147037	6147089
FBgn0029979	FBtr0071132		
FBgn0029979	FBtr0071132	7926765	7927227
FBgn0029979	FBtr0071132	7922158	7926699
FBgn0029979	FBtr0344137		
FBgn0029979	FBtr0344137	7926765	7927227
FBgn0029979	FBtr0344137	7924139	7926699
FBgn0261954	FBtr0303047		
FBgn0261954	FBtr0303047	2022465	2022871
FBgn0261954	FBtr0307290		
FBgn0261954	FBtr0307290	2022465	2024647
FBgn0261954	FBtr0303046		
FBgn0261954	FBtr0303046	2022465	2022871
FBgn0261954	FBtr0307289		
FBgn0261954	FBtr0307289	2022465	2022652
FBgn0261954	FBtr0343522		
FBgn0261954	FBtr0343522	2022465	2022652
FBgn0261954	FBtr0070326		
FBgn0261954	FBtr0070326	2022465	2022652
FBgn0085195	FBtr0301737		
FBgn0085195	FBtr0301737	14743619	14743725
FBgn0085195	FBtr0112357		
FBgn0085195	FBtr0112357	14743619	14743807
FBgn0085195	FBtr0345461		
FBgn0085195	FBtr0345461	14743619	14743879
FBgn0085195	FBtr0343708		
FBgn0085195	FBtr0343708	14743619	14743663
FBgn0043577	FBtr0075320		
FBgn0043577	FBtr0075320	16727157	16727288
FBgn0043577	FBtr0333627		
FBgn0043577	FBtr0333627	16727204	16727288
FBgn0031306	FBtr0077957		
FBgn0031306	FBtr0077957	1139957	1140988
FBgn0031306	FBtr0332271		
FBgn0031306	FBtr0332271	1139957	1141156
FBgn0023215	FBtr0070579		
FBgn0023215	FBtr0070579	3700742	3700780
FBgn0023215	FBtr0301823		
FBgn0023215	FBtr0301823	3700742	3701672
FBgn0023215	FBtr0301821		
FBgn0023215	FBtr0301821	3700742	3700780
FBgn0023215	FBtr0343578		
FBgn0023215	FBtr0343578	3700742	3701672
FBgn0023215	FBtr0307278		
FBgn0023215	FBtr0307278	3700742	3701672
FBgn0023215	FBtr0307277		
FBgn0023215	FBtr0307277	3700742	3701672
FBgn0023215	FBtr0070578		
FBgn0023215	FBtr0070578	3700742	3700780
FBgn0023215	FBtr0301824		
FBgn0023215	FBtr0301824	3700742	3700780
FBgn0023215	FBtr0301825		
FBgn0023215	FBtr0301825	3700742	3700780
FBgn0023215	FBtr0301822		
FBgn0023215	FBtr0301822	3700742	3701672
FBgn0259203	FBtr0299693		
FBgn0259203	FBtr0299693	7329592	7329688
FBgn0259203	FBtr0344452		
FBgn0259203	FBtr0344452	7329592	7329637
FBgn0259203	FBtr0344452	7329716	7330239
FBgn0259203	FBtr0344452	7330299	7331231
FBgn0259203	FBtr0344452	7331292	7331336
FBgn0259203	FBtr0344452	7331393	7333471
FBgn0259203	FBtr0299691		
FBgn0259203	FBtr0299691	7329592	7329637
FBgn0259203	FBtr0299691	7329716	7330239
FBgn0259203	FBtr0299691	7330299	7331231
FBgn0259203	FBtr0299691	7331393	7333471
FBgn0259203	FBtr0299691	7331297	7331336
FBgn0259203	FBtr0299692		
FBgn0259203	FBtr0299692	7329592	7329637
FBgn0259203	FBtr0299692	7329716	7330239
FBgn0259203	FBtr0299692	7330299	7331231
FBgn0259203	FBtr0299692	7331292	7331336
FBgn0259203	FBtr0299692	7331405	7333471
FBgn0051683	FBtr0081365		
FBgn0051683	FBtr0081365	20447734	20448062
FBgn0051683	FBtr0330662		
FBgn0051683	FBtr0330662	20447942	20448062
FBgn0011836	FBtr0332688		
FBgn0011836	FBtr0332688	9884525	9884602
FBgn0011836	FBtr0076361		
FBgn0011836	FBtr0076361	9884411	9884602
FBgn0053884	FBtr0091888	21497745	21497921
FBgn0027611	FBtr0080031		
FBgn0027611	FBtr0080031	10462411	10462472
FBgn0027611	FBtr0080030		
FBgn0027611	FBtr0080030	10462411	10462472
FBgn0038766	FBtr0083830		
FBgn0038766	FBtr0083830	20029399	20029561
FBgn0035027	FBtr0072309		
FBgn0035027	FBtr0072309	24574431	24574503
FBgn0035027	FBtr0343484		
FBgn0035027	FBtr0343484	24574431	24574503
FBgn0053653	FBtr0091630		
FBgn0053653	FBtr0091630	1271130	1271759
FBgn0053653	FBtr0307333		
FBgn0053653	FBtr0307333	1271130	1271759
FBgn0053653	FBtr0091631		
FBgn0053653	FBtr0091631	1271130	1271759
FBgn0053653	FBtr0333702		
FBgn0053653	FBtr0333702	1271130	1271759
FBgn0053653	FBtr0307334		
FBgn0053653	FBtr0307334	1271130	1271759
FBgn0034113	FBtr0087178		
FBgn0034113	FBtr0087178	16316313	16316684
FBgn0043470	FBtr0088121	11337679	11337791
FBgn0086687	FBtr0082627		
FBgn0086687	FBtr0082627	12446942	12447616
FBgn0086687	FBtr0082628		
FBgn0086687	FBtr0082628	12446942	12447616
FBgn0086687	FBtr0082630		
FBgn0086687	FBtr0082630	12446942	12447616
FBgn0086687	FBtr0082629		
FBgn0086687	FBtr0082629	12446942	12447616
FBgn0086687	FBtr0082626		
FBgn0086687	FBtr0082626	12446942	12447616
FBgn0037200	FBtr0078552		
FBgn0037200	FBtr0078552	22873689	22873702
FBgn0037200	FBtr0078553	22873689	22873702
FBgn0263355	FBtr0330203		
FBgn0263355	FBtr0330203	20441891	20443944
FBgn0263355	FBtr0273378		
FBgn0263355	FBtr0273378	20441858	20443944
FBgn0263355	FBtr0330204		
FBgn0263355	FBtr0330204	20441891	20443944
FBgn0263355	FBtr0308895		
FBgn0263355	FBtr0308895	20441858	20444823
FBgn0263355	FBtr0330661		
FBgn0263355	FBtr0330661	20441858	20447905
FBgn0259227	FBtr0299789		
FBgn0259227	FBtr0299789	11673463	11673974
FBgn0019830	FBtr0077731	2768590	2768644
FBgn0019830	FBtr0077734	2768618	2768644
FBgn0033865	FBtr0087650		
FBgn0033865	FBtr0087650	13691707	13691959
FBgn0264962	FBtr0302109		
FBgn0264962	FBtr0302109	14869646	14869970
FBgn0264962	FBtr0339986		
FBgn0264962	FBtr0339986	14861156	14861381
FBgn0264962	FBtr0339985		
FBgn0264962	FBtr0339985	14861156	14861381
FBgn0264962	FBtr0345528		
FBgn0264962	FBtr0345528	14860936	14861381
FBgn0264962	FBtr0302294		
FBgn0264962	FBtr0302294	14861156	14861381
FBgn0264962	FBtr0302560		
FBgn0264962	FBtr0302560	14861156	14861381
FBgn0264962	FBtr0301513		
FBgn0264962	FBtr0301513	14866613	14867304
FBgn0031604	FBtr0077439		
FBgn0031604	FBtr0077439	4446641	4446765
FBgn0036908	FBtr0074927		
FBgn0036908	FBtr0074927	19803923	19804001
FBgn0036908	FBtr0333878		
FBgn0036908	FBtr0333878	19803738	19804001
FBgn0025742	FBtr0345290		
FBgn0025742	FBtr0345290	6034731	6034896
FBgn0025742	FBtr0079223		
FBgn0025742	FBtr0079223	6034796	6034896
FBgn0030352	FBtr0346165		
FBgn0030352	FBtr0346165	11893672	11893745
FBgn0030352	FBtr0073572		
FBgn0030352	FBtr0073572	11893672	11893745
FBgn0039930	FBtr0089222	1028675	1028742
FBgn0052638	FBtr0300453		
FBgn0052638	FBtr0300453	13122876	13123472
FBgn0028468	FBtr0084009		
FBgn0028468	FBtr0084009	21110708	21110834
FBgn0029708	FBtr0308916		
FBgn0029708	FBtr0308916	4533587	4535464
FBgn0029708	FBtr0070674		
FBgn0029708	FBtr0070674	4533587	4533840
FBgn0036838	FBtr0075041		
FBgn0036838	FBtr0075041	18998508	18998522
FBgn0036838	FBtr0075041	18997875	18998445
FBgn0002626	FBtr0085592		
FBgn0002626	FBtr0085592	30045229	30045312
FBgn0002626	FBtr0085594		
FBgn0002626	FBtr0085594	30045229	30045312
FBgn0002626	FBtr0085593	30045229	30045312
FBgn0002626	FBtr0085593		
FBgn0002626	FBtr0114555		
FBgn0002626	FBtr0114555	30045257	30045312
FBgn0003189	FBtr0340156		
FBgn0003189	FBtr0340156	16668595	16668712
FBgn0003189	FBtr0340155		
FBgn0003189	FBtr0340155	16668595	16668712
FBgn0003189	FBtr0089734		
FBgn0003189	FBtr0089734	16668595	16668712
FBgn0052712	FBtr0300386		
FBgn0052712	FBtr0300386	8433087	8433119
FBgn0037491	FBtr0339736		
FBgn0037491	FBtr0339736	7248151	7248284
FBgn0037491	FBtr0081598		
FBgn0037491	FBtr0081598	7248151	7248284
FBgn0039711	FBtr0303035		
FBgn0039711	FBtr0303035	29857652	29857756
FBgn0039711	FBtr0089927		
FBgn0039711	FBtr0089927	29857652	29857756
FBgn0032870	FBtr0081384		
FBgn0032870	FBtr0081384	20646863	20647381
FBgn0261830	FBtr0303390		
FBgn0261830	FBtr0303390	8143401	8143487
FBgn0026313	FBtr0333757		
FBgn0026313	FBtr0333757	17605310	17606100
FBgn0026313	FBtr0301696		
FBgn0026313	FBtr0301696	17605310	17606879
FBgn0026313	FBtr0340621		
FBgn0026313	FBtr0340621	17605310	17606879
FBgn0026313	FBtr0074451		
FBgn0026313	FBtr0074451	17605310	17606100
FBgn0026313	FBtr0340620		
FBgn0026313	FBtr0340620	17605310	17606100
FBgn0031498	FBtr0077653	3038689	3038793
FBgn0031498	FBtr0344088		
FBgn0031498	FBtr0344088	3038689	3038793
FBgn0031498	FBtr0335478	3038689	3038793
FBgn0260222	FBtr0300625	21691981	21692170
FBgn0260222	FBtr0300625	21692235	21692374
FBgn0260222	FBtr0300625	21692432	21692764
FBgn0260222	FBtr0342958	21692235	21692374
FBgn0260222	FBtr0342958	21692432	21692764
FBgn0260222	FBtr0342958		
FBgn0260222	FBtr0342958	21691981	21692170
FBgn0031883	FBtr0344710		
FBgn0031883	FBtr0344710	7035090	7035561
FBgn0031883	FBtr0344710	7035637	7036035
FBgn0031883	FBtr0344710	7036188	7036722
FBgn0031883	FBtr0344710	7036812	7037613
FBgn0031883	FBtr0344708	7035637	7036035
FBgn0031883	FBtr0344708	7036812	7037613
FBgn0031883	FBtr0344708		
FBgn0031883	FBtr0344708	7034211	7034273
FBgn0031883	FBtr0344708	7034484	7034693
FBgn0031883	FBtr0344708	7034765	7034910
FBgn0031883	FBtr0344708	7035407	7035561
FBgn0031883	FBtr0344708	7036185	7036722
FBgn0031883	FBtr0089640		
FBgn0031883	FBtr0089640	7037451	7037613
FBgn0031883	FBtr0344711	7035637	7036035
FBgn0031883	FBtr0344711		
FBgn0031883	FBtr0344711	7034765	7034910
FBgn0031883	FBtr0344711	7036185	7036722
FBgn0031883	FBtr0344711	7034499	7034693
FBgn0031883	FBtr0344711	7035075	7035561
FBgn0031883	FBtr0344711	7036812	7037878
FBgn0031883	FBtr0344712		
FBgn0031883	FBtr0344712	7035637	7036035
FBgn0031883	FBtr0344712	7036812	7037613
FBgn0031883	FBtr0344712	7034765	7034910
FBgn0031883	FBtr0344712	7035407	7035561
FBgn0031883	FBtr0344712	7036185	7036722
