Target gene	Representative transcript	Conserved sites				Poorly conserved sites				Repre- sentative miRNA	Total context+ score	Aggregate PCT	Previous TargetScan publication(s)	Links to sites in UTRs
		total	8mer	7mer-m8	7mer-1A	total	8mer	7mer-m8	7mer-1A					
ZNF652	NM_001145365	3	1	2	0	1	0	0	1	hsa-miR-155	-0.37	0.86	"2005, 2007, 2009"	Sites in UTR
BACH1	NM_001186	3	1	2	0	1	0	1	0	hsa-miR-155	-0.25	0.64	"2005, 2007, 2009"	Sites in UTR
TCF4	NM_001083962	3	2	1	0	1	0	1	0	hsa-miR-155	> -0.1	0.53	2009	Sites in UTR
JARID2	NM_004973	2	2	0	0	0	0	0	0	hsa-miR-155	-0.47	0.74	2009	Sites in UTR
LRP1B	NM_018557	2	1	1	0	0	0	0	0	hsa-miR-155	-0.39	0.37	"2005, 2007, 2009"	Sites in UTR
MYB	NM_001130172	2	0	2	0	0	0	0	0	hsa-miR-155	-0.38	0.48	"2007, 2009"	Sites in UTR
SMAD2	NM_001003652	2	1	0	1	0	0	0	0	hsa-miR-155	-0.36	0.84	"2007, 2009"	Sites in UTR
ARID2	NM_152641	2	1	1	0	0	0	0	0	hsa-miR-155	-0.36	0.67	"2005, 2007, 2009"	Sites in UTR
TMPRSS11BNL	NM_001129907	2	2	0	0	1	0	1	0	hsa-miR-155	-0.35	0.22		Sites in UTR
DET1	NM_001144074	2	1	1	0	0	0	0	0	hsa-miR-155	-0.33	0.42	2009	Sites in UTR
ZIC3	NM_003413	2	1	1	0	0	0	0	0	hsa-miR-155	-0.33	0.64	"2005, 2007, 2009"	Sites in UTR
CSRNP2	NM_030809	2	2	0	0	0	0	0	0	hsa-miR-155	-0.29	0.29	2009	Sites in UTR
MPEG1	NM_001039396	2	1	0	1	0	0	0	0	hsa-miR-155	-0.28	0.59	2009	Sites in UTR
ANKFY1	NM_016376	2	1	0	1	0	0	0	0	hsa-miR-155	-0.27	0.58	2009	Sites in UTR
FXR1	NM_001013438	2	1	1	0	1	0	1	0	hsa-miR-155	-0.26	0.37	2009	Sites in UTR
RICTOR	NM_152756	2	1	0	1	1	0	0	1	hsa-miR-155	-0.24	0.64	"2007, 2009"	Sites in UTR
HNRNPA3	NM_194247	2	1	1	0	1	0	0	1	hsa-miR-155	-0.23	0.56	"2007, 2009"	Sites in UTR
FGF7	NM_002009	2	1	0	1	0	0	0	0	hsa-miR-155	-0.21	0.85	"2005, 2007, 2009"	Sites in UTR
RCOR1	NM_015156	2	0	1	1	0	0	0	0	hsa-miR-155	-0.2	0.64	"2007, 2009"	Sites in UTR
RREB1	NM_001003698	2	0	1	1	1	0	1	0	hsa-miR-155	-0.2	0.69	"2005, 2007, 2009"	Sites in UTR
IKBKE	NM_001193321	2	0	2	0	0	0	0	0	hsa-miR-155	-0.17	0.48	"2005, 2007, 2009"	Sites in UTR
RBMS3	NM_001003792	2	1	1	0	1	0	1	0	hsa-miR-155	-0.15	0.72	2009	Sites in UTR
C10orf46	NM_153810	2	0	1	1	0	0	0	0	hsa-miR-155	-0.15	0.68	"2005, 2007, 2009"	Sites in UTR
KLF3	NM_016531	2	0	0	2	1	0	0	1	hsa-miR-155	-0.14	0.81	2009	Sites in UTR
E2F2	NM_004091	2	1	0	1	0	0	0	0	hsa-miR-155	-0.14	0.68	2009	Sites in UTR
ETS1	NM_001143820	2	2	0	0	0	0	0	0	hsa-miR-155	-0.14	0.64	"2005, 2007, 2009"	Sites in UTR
JHDM1D	NM_030647	2	1	0	1	0	0	0	0	hsa-miR-155	-0.11	0.6	2009	Sites in UTR
TRPS1	NM_014112	2	1	0	1	0	0	0	0	hsa-miR-155	-0.07	0.82	"2007, 2009"	Sites in UTR
MIDN	NM_177401	2	1	1	0	0	0	0	0	hsa-miR-155	-0.07	0.69	"2005, 2007, 2009"	Sites in UTR
ZBTB38	NM_001080412	1	1	0	0	1	0	1	0	hsa-miR-155	-0.48	0.33	2009	Sites in UTR
RAB11FIP2	NM_014904	1	1	0	0	1	0	1	0	hsa-miR-155	-0.46	0.5	"2005, 2007, 2009"	Sites in UTR
C2orf80	NM_001099334	1	1	0	0	0	0	0	0	hsa-miR-155	-0.45	0.34	2009	Sites in UTR
TSHZ3	NM_020856	1	1	0	0	2	0	0	2	hsa-miR-155	-0.45	0.81	"2007, 2009"	Sites in UTR
FBXO22	NM_147188	1	1	0	0	1	0	1	0	hsa-miR-155	-0.44	0.16		Sites in UTR
VMA21	NM_001017980	1	1	0	0	0	0	0	0	hsa-miR-155	-0.43	0.11	2009	Sites in UTR
TMEM202	NM_001080462	1	1	0	0	1	0	1	0	hsa-miR-155	-0.41	0.17	2009	Sites in UTR
ZNF192	NM_006298	1	0	1	0	2	0	2	0	hsa-miR-155	-0.41	0.36		Sites in UTR
IRF2BP2	NM_001077397	1	1	0	0	0	0	0	0	hsa-miR-155	-0.41	0.55	2009	Sites in UTR
CDX1	NM_001804	1	1	0	0	0	0	0	0	hsa-miR-155	-0.41	0.16	2009	Sites in UTR
TLE4	NM_007005	1	1	0	0	0	0	0	0	hsa-miR-155	-0.4	0.56	"2005, 2007, 2009"	Sites in UTR
MYO1D	NM_015194	1	1	0	0	0	0	0	0	hsa-miR-155	-0.39	0.63	"2005, 2007, 2009"	Sites in UTR
MBNL3	NM_001170701	1	1	0	0	1	0	1	0	hsa-miR-155	-0.38	0.12		Sites in UTR
GCFC1	NM_016631	1	1	0	0	0	0	0	0	hsa-miR-155	-0.37	0.27	"2007, 2009"	Sites in UTR
G2E3	NM_017769	1	1	0	0	1	0	1	0	hsa-miR-155	-0.37	0.48	2009	Sites in UTR
LCA5	NM_001122769	1	1	0	0	0	0	0	0	hsa-miR-155	-0.37	0.13		Sites in UTR
KIAA1274	NM_014431	1	1	0	0	0	0	0	0	hsa-miR-155	-0.36	0.55	"2005, 2007, 2009"	Sites in UTR
MBTD1	NM_017643	1	1	0	0	0	0	0	0	hsa-miR-155	-0.36	0.34	2009	Sites in UTR
CYB561D1	NM_001134400	1	1	0	0	0	0	0	0	hsa-miR-155	-0.36	0.44		Sites in UTR
SLC12A6	NM_001042494	1	0	1	0	2	1	1	0	hsa-miR-155	-0.35	0.34	2009	Sites in UTR
HERC4	NM_015601	1	1	0	0	0	0	0	0	hsa-miR-155	-0.35	0.48	2009	Sites in UTR
LPAR6	NM_001162497	1	1	0	0	0	0	0	0	hsa-miR-155	-0.34	< 0.1		Sites in UTR
OTUB2	NM_023112	1	1	0	0	0	0	0	0	hsa-miR-155	-0.33	0.48	2009	Sites in UTR
ATXN1L	NM_001137675	1	1	0	0	0	0	0	0	hsa-miR-155	-0.33	0.28		Sites in UTR
RTKN2	NM_145307	1	1	0	0	1	1	0	0	hsa-miR-155	-0.33	0.33	2009	Sites in UTR
CEBPB	NM_005194	1	1	0	0	0	0	0	0	hsa-miR-155	-0.33	0.65	"2005, 2007, 2009"	Sites in UTR
SAP30L	NM_001131062	1	1	0	0	0	0	0	0	hsa-miR-155	-0.32	0.34		Sites in UTR
PSIP1	NM_021144	1	1	0	0	0	0	0	0	hsa-miR-155	-0.32	0.28		Sites in UTR
GDF6	NM_001001557	1	1	0	0	0	0	0	0	hsa-miR-155	-0.32	0.55	"2005, 2007, 2009"	Sites in UTR
ANKRD6	NM_001242809	1	1	0	0	0	0	0	0	hsa-miR-155	-0.32	< 0.1		Sites in UTR
SGK3	NM_001033578	1	1	0	0	0	0	0	0	hsa-miR-155	-0.32	0.28	"2007, 2009"	Sites in UTR
C8orf44-SGK3	NM_001204173	1	1	0	0	0	0	0	0	hsa-miR-155	-0.32	0.28		Sites in UTR
NDFIP1	NM_030571	1	1	0	0	1	0	0	1	hsa-miR-155	-0.32	0.21	"2005, 2007"	Sites in UTR
ACTA1	NM_001100	1	1	0	0	0	0	0	0	hsa-miR-155	-0.31	0.55	"2007, 2009"	Sites in UTR
GPM6B	NM_001001995	1	1	0	0	0	0	0	0	hsa-miR-155	-0.31	0.26	"2005, 2007, 2009"	Sites in UTR
RNF123	NM_022064	1	1	0	0	0	0	0	0	hsa-miR-155	-0.31	0.61	"2005, 2007, 2009"	Sites in UTR
DYNC1I1	NM_001135556	1	1	0	0	0	0	0	0	hsa-miR-155	-0.31	0.29	"2007, 2009"	Sites in UTR
GNAS	NM_000516	1	1	0	0	0	0	0	0	hsa-miR-155	-0.31	< 0.1	2009	Sites in UTR
SP1	NM_003109	1	1	0	0	1	0	1	0	hsa-miR-155	-0.31	0.57	2009	Sites in UTR
PTPN2	NM_001207013	1	1	0	0	0	0	0	0	hsa-miR-155	-0.3	0.56		Sites in UTR
H3F3A	NM_002107	1	1	0	0	0	0	0	0	hsa-miR-155	-0.3	0.28	"2005, 2007, 2009"	Sites in UTR
GCNT1	NM_001097633	1	1	0	0	1	0	1	0	hsa-miR-155	-0.3	0.11		Sites in UTR
USP43	NM_153210	1	1	0	0	0	0	0	0	hsa-miR-155	-0.3	< 0.1		Sites in UTR
C10orf26	NM_001083913	1	1	0	0	0	0	0	0	hsa-miR-155	-0.3	0.47	2009	Sites in UTR
TPRKB	NM_016058	1	1	0	0	0	0	0	0	hsa-miR-155	-0.3	< 0.1		Sites in UTR
BOC	NM_033254	1	1	0	0	0	0	0	0	hsa-miR-155	-0.3	0.33	"2007, 2009"	Sites in UTR
FAM135A	NM_001105531	1	1	0	0	0	0	0	0	hsa-miR-155	-0.3	< 0.1	"2005, 2007"	Sites in UTR
KCTD3	NM_016121	1	0	1	0	1	0	1	0	hsa-miR-155	-0.3	0.32		Sites in UTR
C3orf18	NM_001171740	1	1	0	0	0	0	0	0	hsa-miR-155	-0.29	0.55	"2005, 2007, 2009"	Sites in UTR
SLC2A12	NM_145176	1	1	0	0	0	0	0	0	hsa-miR-155	-0.29	0.62	2009	Sites in UTR
STXBP5L	NM_014980	1	1	0	0	0	0	0	0	hsa-miR-155	-0.28	0.58	2009	Sites in UTR
DHX40	NM_001166301	1	1	0	0	0	0	0	0	hsa-miR-155	-0.28	0.26	2009	Sites in UTR
HAUS6	NM_017645	1	1	0	0	0	0	0	0	hsa-miR-155	-0.28	< 0.1	2009	Sites in UTR
TAPT1	NM_153365	1	1	0	0	1	0	0	1	hsa-miR-155	-0.28	0.32	2009	Sites in UTR
CSF1R	NM_005211	1	1	0	0	0	0	0	0	hsa-miR-155	-0.28	0.55	"2005, 2007, 2009"	Sites in UTR
EN2	NM_001427	1	1	0	0	0	0	0	0	hsa-miR-155	-0.28	0.41	2009	Sites in UTR
TRPM8	NM_024080	1	1	0	0	0	0	0	0	hsa-miR-155	-0.28	< 0.1		Sites in UTR
ANTXR2	NM_058172	1	1	0	0	2	0	1	1	hsa-miR-155	-0.28	0.37	"2005, 2007"	Sites in UTR
WWC1	NM_001161661	1	1	0	0	0	0	0	0	hsa-miR-155	-0.28	0.28	"2007, 2009"	Sites in UTR
ZMYM2	NM_001190964	1	0	1	0	3	0	2	1	hsa-miR-155	-0.27	0.59	"2007, 2009"	Sites in UTR
KIAA1715	NM_030650	1	0	1	0	2	1	0	1	hsa-miR-155	-0.27	0.33	2009	Sites in UTR
FBXL17	NM_001163315	1	1	0	0	0	0	0	0	hsa-miR-155	-0.27	0.1		Sites in UTR
BAG5	NM_001015048	1	1	0	0	2	0	0	2	hsa-miR-155	-0.27	0.2	2009	Sites in UTR
PRKAR1A	NM_002734	1	1	0	0	0	0	0	0	hsa-miR-155	-0.27	0.28	2009	Sites in UTR
PLD5	NM_001195811	1	0	1	0	0	0	0	0	hsa-miR-155	-0.27	0.28		Sites in UTR
