Ensembl Transcript ID	RefSeq mRNA [e.g. NM_001195597]	Transcript length (including UTRs and CDS)
ENST00000628983	NM_012234	4661
ENST00000627423	NM_001291281	2590
ENST00000630406		1617
ENST00000629761	NM_005541	5274
ENST00000630338		2545
ENST00000630854	NM_001017915	4845
ENST00000627806		431
ENST00000630466		568
ENST00000631055		569
ENST00000627169		3628
ENST00000628466		401
ENST00000627243		527
ENST00000628814		958
ENST00000629540		439
ENST00000627349		568
ENST00000628842		588
ENST00000629792		528
ENST00000627758	NM_014581	691
ENST00000630166		797
ENST00000629235		557
ENST00000628865	NM_001288987	961
ENST00000629408		702
ENST00000630425	NM_019605	5219
ENST00000629302		1103
ENST00000626471		494
ENST00000627288		378
ENST00000630362	NM_003051	3910
ENST00000629920		2201
ENST00000629508		1099
ENST00000626371		865
ENST00000627031		430
ENST00000627457		452
ENST00000628110	NM_001166496	4374
ENST00000629233		6944
ENST00000628523	NM_001256469	7106
ENST00000630001	NM_012330	8287
ENST00000628038		5892
ENST00000627572		529
ENST00000629879	NM_001256468	7560
ENST00000626984		6532
ENST00000625523	NM_001170564	3164
ENST00000627903	NM_001122834	3575
ENST00000626327	NM_001170588	3446
ENST00000628693	NM_001170587	3507
ENST00000629360	NM_018194	3594
ENST00000625820	NM_001170580	3626
ENST00000631353		721
ENST00000628249		2864
ENST00000629127		2714
ENST00000629980	NM_006753	4447
ENST00000628950		935
ENST00000628001		543
ENST00000627677		500
ENST00000629832	NM_002953	3186
ENST00000625208		560
ENST00000630838		3131
ENST00000631108		2596
ENST00000629025		544
ENST00000628081		3023
ENST00000625391		592
ENST00000628816		2089
ENST00000626401		3202
ENST00000627022		580
ENST00000628256	NM_001006665	2359
ENST00000627890		486
ENST00000625549		530
ENST00000627508		857
ENST00000625911		304
ENST00000625863		498
ENST00000630873		555
ENST00000629099		639
ENST00000628405		662
ENST00000630647		4915
ENST00000627730		582
ENST00000627681		817
ENST00000630225		1557
ENST00000626095		4509
ENST00000626554		776
ENST00000627686		621
ENST00000627439		434
ENST00000626224		1313
ENST00000630302		562
ENST00000626935		699
ENST00000628669		563
ENST00000628011		1489
ENST00000635479		18299
ENST00000634579		10052
ENST00000635138		1291
ENST00000634915		1312
ENST00000634815		877
ENST00000631074	NM_013358	3846
ENST00000627929		513
ENST00000629222		3124
ENST00000629522		4367
ENST00000631196	NM_133640	1437
ENST00000626118	NM_181491	3867
ENST00000629975		3886
ENST00000628583		879
ENST00000629701		987
ENST00000629491		560
ENST00000629994		532
ENST00000630604		561
ENST00000630090		491
ENST00000628759	NM_001287349	1968
ENST00000626953		1326
ENST00000625909		3535
ENST00000625769	NM_016233	3189
ENST00000626048		841
ENST00000628229	NM_012387	2267
ENST00000628035		373
ENST00000627887		513
ENST00000627140		471
ENST00000629379		2791
ENST00000625422	NM_001288591	1692
ENST00000629459	NM_025169	1757
ENST00000626497	NM_018651	3477
ENST00000626497	NM_001288590	3477
ENST00000627201		1294
ENST00000627156	NM_001288592	1502
ENST00000626511		546
ENST00000627589		476
ENST00000627865		189
ENST00000630979	NM_000972	891
ENST00000627647		947
ENST00000625669		1164
ENST00000625844		1057
ENST00000629468		941
ENST00000631188		743
ENST00000627260		680
ENST00000628986		966
ENST00000629488		374
ENST00000625380	NM_207421	2396
ENST00000631021	NM_018715	4087
ENST00000628207		783
ENST00000628984	NM_001136204	2030
ENST00000630337		474
ENST00000631019		644
ENST00000626409		556
ENST00000625494	NM_173658	5834
ENST00000626663	NM_003172	1093
ENST00000628258	NM_001280787	991
ENST00000630619		931
ENST00000625378		813
ENST00000629007		493
ENST00000629246		589
ENST00000625501	NM_001190266	3405
ENST00000625501	NM_001190267	3405
ENST00000625501	NM_030803	3405
ENST00000626623	NM_198890	2915
ENST00000627513		691
ENST00000630204		2767
ENST00000631068		3301
ENST00000629673		644
ENST00000626189		3559
ENST00000630144		568
ENST00000629755		4208
ENST00000630596		684
ENST00000630066	NM_017974	3213
ENST00000626639		3313
ENST00000626264		740
ENST00000625558		591
ENST00000626361		560
ENST00000630093		911
ENST00000627352		805
ENST00000627004		546
ENST00000627517		1989
ENST00000628172	NM_006991	3275
ENST00000627752	NM_001024855	2935
ENST00000627858		2320
ENST00000627845		4299
ENST00000630633	NM_001278928	842
ENST00000630633	NM_017503	842
ENST00000627396		676
ENST00000626704		314
ENST00000625394	NM_003420	2661
ENST00000631045		532
ENST00000627641		620
ENST00000629627		564
ENST00000629532		2503
ENST00000630364		581
ENST00000629578	NM_001280788	2984
ENST00000629578	NM_033161	2984
ENST00000629119	NM_001280792	2863
ENST00000627384	NM_001280791	3148
ENST00000625213	NM_001280790	3200
ENST00000626303	NM_001280789	1206
ENST00000626635		400
ENST00000629510		693
ENST00000625797		715
ENST00000628319		553
ENST00000630464	NM_001134441	3173
ENST00000630464	NM_001134442	3173
ENST00000628995		2314
ENST00000626630	NM_001134440	3270
ENST00000626630	NM_001282880	3270
ENST00000626630	NM_033210	3270
ENST00000629892		593
ENST00000627775	NM_145044	3099
ENST00000625592	NM_001258280	3382
ENST00000626437		543
ENST00000629012		573
ENST00000626956		479
ENST00000626149		507
ENST00000627745	NM_001320334	5122
ENST00000627745	NM_020696	5122
ENST00000627962	NM_153710	2825
ENST00000631348		785
ENST00000628561		266
ENST00000626433		744
ENST00000630074		517
ENST00000628678	NM_001279349	1899
ENST00000630460	NM_001279350	2360
ENST00000630460	NM_001279351	2360
ENST00000630460	NM_020385	2360
ENST00000626857		833
ENST00000626121		743
ENST00000625958		847
ENST00000627193		860
ENST00000627272	NM_020242	4842
ENST00000631233		4795
ENST00000625939		2240
ENST00000627705		3460
ENST00000631063		1454
ENST00000629073		2441
ENST00000627473		691
ENST00000628376		791
ENST00000626072		6659
ENST00000631149	NM_000541	1591
ENST00000627531		468
ENST00000626611		3391
ENST00000626850		198
ENST00000625330		556
ENST00000630486		2581
ENST00000630167		556
ENST00000627261		485
ENST00000629813		571
ENST00000629158		4984
ENST00000628065		496
ENST00000627591		482
ENST00000630815		567
ENST00000629091		322
ENST00000626748	NM_144638	1026
ENST00000627057		94
ENST00000630091		3071
ENST00000626185		1746
ENST00000628744	NM_003241	3388
ENST00000626379		137
ENST00000627547		641
ENST00000625785		544
ENST00000629749		707
ENST00000628356		6297
ENST00000625865		482
ENST00000626849		625
ENST00000629742		494
ENST00000629234		890
ENST00000628527		6228
ENST00000626490		506
ENST00000630600		2902
ENST00000630627		1355
ENST00000630624		5379
ENST00000628275		453
ENST00000628424		322
ENST00000630311		270
ENST00000628947		535
ENST00000628339		2953
ENST00000626597	NM_139025	4934
ENST00000630344		4330
ENST00000626079		3022
ENST00000626744	NM_139027	4442
ENST00000630465	NM_139026	4349
ENST00000630700		1155
ENST00000626661		2230
ENST00000629604		1074
ENST00000627481		3226
ENST00000627323		1281
ENST00000628490		407
ENST00000630389		3101
ENST00000628351		2687
ENST00000626624		872
ENST00000629974		1336
ENST00000630967		472
ENST00000631250		537
ENST00000628075		540
ENST00000627147		778
ENST00000627083	NM_001242370	2754
ENST00000630997	NM_001242369	2880
ENST00000625979	NM_001135775	2688
ENST00000625786		689
ENST00000629431	NM_017586	2794
ENST00000626867		795
ENST00000630697		356
ENST00000625425	NM_001145099	2301
ENST00000627289		3417
ENST00000626271	NM_017585	2528
ENST00000625489		727
ENST00000627959		588
ENST00000626615	NM_020469	1580
ENST00000635191		6247
ENST00000635403		2581
ENST00000635482		871
ENST00000636000		3659
ENST00000636765		458
ENST00000633392	NM_001146344	1845
ENST00000629000		900
ENST00000629738	NM_014938	8427
ENST00000626676		1619
ENST00000625912		1384
ENST00000625595		465
ENST00000628565		1078
ENST00000625732		5097
ENST00000628109		805
ENST00000627366		2835
ENST00000626863		1682
ENST00000630932		209
ENST00000625214		513
ENST00000634171	NM_001013631	1108
ENST00000627413		1850
ENST00000627553		546
ENST00000628217		1927
ENST00000630375		574
ENST00000630161		1320
ENST00000629515		598
ENST00000625808		762
ENST00000626295		548
ENST00000627713		561
ENST00000631317	NM_138723	1897
ENST00000628783	NM_138722	1886
ENST00000631251	NM_030766	2039
ENST00000627464		583
ENST00000628315		1247
ENST00000630618	NM_001320822	4191
ENST00000630618	NM_007368	4191
ENST00000628197		975
ENST00000632257	NM_023014	1642
ENST00000632563	NM_001009611	1828
ENST00000632873	NM_001039361	1525
ENST00000355096	NM_001012277	1592
ENST00000633146		1560
ENST00000628671		2886
ENST00000632295	NM_001010889	1720
ENST00000632388		1720
ENST00000626640	NM_181721	1159
ENST00000634955		1053
