RefSeq_Accession	Gene_Name	Expression_Level_(rpkM)	Read_Count	Feature_Length	Total_Mapped_Reads
NM_002220	ITPKA	0.732391753065	6.0	1386	5910777.0
NM_001003806	TARP	0.0	0.0	336	5910777.0
NM_001143986	TLE6	0.0984191361012	1.0	1719	5910777.0
NM_003621	PPFIBP2	0.257213979412	4.0	2631	5910777.0
NM_001143980	CCDC154	0.168844805347	2.0	2004	5910777.0
NM_001143981	CHRDL1	0.0	0.0	1377	5910777.0
NM_016648	LARP7	29.9866057387	310.0	1749	5910777.0
NM_016649	ESF1	24.688994765	373.0	2556	5910777.0
NM_003626	PPFIA1	38.3930350154	819.0	3609	5910777.0
NM_016644	PRR16	6.79929648767	34.0	846	5910777.0
NM_016645	NGRN	87.6672928418	342.0	660	5910777.0
NM_016642	SPTBN5	0.371829659248	24.0	10920	5910777.0
NM_001143989	NBPF4	0.0882537793208	1.0	1917	5910777.0
NM_016640	MRPS30	221.73160324	1730.0	1320	5910777.0
NM_016641	GDE1	56.394164986	332.0	996	5910777.0
NM_001080821	ZNF799	0.262705737512	3.0	1932	5910777.0
NM_017418	DEC1	0.0	0.0	213	5910777.0
NM_001080825	TMEM120B	8.62498993903	52.0	1020	5910777.0
NM_001008781	FAT3	0.0247451360184	2.0	13674	5910777.0
NM_001080826	PRAGMIN	10.5713937215	263.0	4209	5910777.0
NM_018139	C14orf104	10.4981977778	156.0	2514	5910777.0
NM_002854	PVALB	0.0	0.0	333	5910777.0
NM_001003803	ATP5S	8.87685930335	34.0	648	5910777.0
NM_001007532	STH	0.0	0.0	387	5910777.0
NM_144582	TEX261	29.485274079	103.0	591	5910777.0
NM_205859	OR2K2	0.0	0.0	951	5910777.0
NM_001003800	BICD2	17.9855222444	273.0	2568	5910777.0
NM_001007533	DYSFIP1	0.0	0.0	465	5910777.0
NM_205854	SFTA2	0.0	0.0	237	5910777.0
NM_017840	MRPL16	43.6383419534	195.0	756	5910777.0
NM_205850	SLC24A5	0.0	0.0	1503	5910777.0
NM_205853	MUSTN1	0.0	0.0	249	5910777.0
NM_205852	CLEC12B	0.242035042858	1.0	699	5910777.0
NM_207119	LRRC20	1.21933329699	4.0	555	5910777.0
NM_181777	UBE2A	87.4832559398	121.0	234	5910777.0
NM_004108	FCN2	0.0	0.0	942	5910777.0
NM_004109	FDX1	13.4126662669	44.0	555	5910777.0
NM_004106	FCER1G	0.648208792942	1.0	261	5910777.0
NM_001464	ADAM2	0.0	0.0	2208	5910777.0
NM_004105	EFEMP1	191.557507786	1678.0	1482	5910777.0
NM_004102	FABP3	1.68340791003	4.0	402	5910777.0
NM_001463	FRZB	0.0	0.0	978	5910777.0
NM_001145316	DSN1	30.9615023452	196.0	1071	5910777.0
NM_007103	NDUFV1	67.7942757573	559.0	1395	5910777.0
NM_007102	GUCA2B	0.0	0.0	339	5910777.0
NM_007101	SARDH	0.0	0.0	2757	5910777.0
NM_007100	ATP5I	170.793756815	212.0	210	5910777.0
NM_007107	SSR3	224.667076638	741.0	558	5910777.0
NM_007106	UBL3	19.5945827494	41.0	354	5910777.0
NM_007105	SLC22A18AS	0.222024271598	1.0	762	5910777.0
NM_181435	C1QTNF3	0.0	0.0	960	5910777.0
NM_000339	SLC12A3	0.0546985111406	1.0	3093	5910777.0
NM_000338	SLC12A1	0.0	0.0	3300	5910777.0
NM_007109	TCF19	14.3430246207	88.0	1038	5910777.0
NM_000484	APP	170.791666981	2335.0	2313	5910777.0
NM_000483	APOC2	0.0	0.0	306	5910777.0
NM_000482	APOA4	0.0	0.0	1191	5910777.0
NM_000481	AMT	0.418768551876	3.0	1212	5910777.0
NM_016643	ZNF771	2.66010212198	15.0	954	5910777.0
NM_030615	KIF25	0.0	0.0	1155	5910777.0
NM_207112	HAGHL	3.68209324651	19.0	873	5910777.0
NM_001425	EMP3	123.792069481	360.0	492	5910777.0
NM_001012968	SPIN4	5.18826317871	23.0	750	5910777.0
NM_030613	ZFP2	0.0	0.0	1386	5910777.0
NM_005801	EIF1	400.695382795	810.0	342	5910777.0
NM_001012961	C1orf84	5.35587041766	17.0	537	5910777.0
NM_001012967	DDX60L	3.73318139626	113.0	5121	5910777.0
NM_014174	THYN1	14.7223705052	59.0	678	5910777.0
NM_001012964	KLK6	0.0	0.0	735	5910777.0
NM_003824	FADD	30.7604536287	114.0	627	5910777.0
NM_012188	FOXI1	0.0	0.0	1137	5910777.0
NM_003826	NAPG	20.9000739245	116.0	939	5910777.0
NM_003827	NAPA	95.2604138277	500.0	888	5910777.0
NM_003820	TNFRSF14	0.0	0.0	852	5910777.0
NM_003821	RIPK2	19.1802705313	184.0	1623	5910777.0
NM_003795	SNX3	183.713506795	531.0	489	5910777.0
NM_012181	FKBP8	43.453474953	319.0	1242	5910777.0
NM_012180	FBXO8	13.7460777153	78.0	960	5910777.0
NM_012183	FOXD3	0.235466242113	2.0	1437	5910777.0
NM_012182	FOXB1	0.0	0.0	978	5910777.0
NM_003828	MTMR1	22.2697678548	263.0	1998	5910777.0
NM_012184	FOXD4L1	0.0	0.0	1227	5910777.0
NM_012186	FOXE3	0.0	0.0	960	5910777.0
NM_020733	HEG1	47.8248635048	1172.0	4146	5910777.0
NM_001083335	ZFP112	2.77651796977	45.0	2742	5910777.0
NM_020731	AHRR	13.6285898716	174.0	2160	5910777.0
NM_001861	COX4I1	279.648712254	843.0	510	5910777.0
NM_001146110	MIER1	16.0670168168	151.0	1590	5910777.0
NM_005806	OLIG2	0.0	0.0	972	5910777.0
NM_020734	RIMKLB	6.26601833178	43.0	1161	5910777.0
NM_020739	CCPG1	84.5168488444	1136.0	2274	5910777.0
NM_005807	PRG4	0.0	0.0	4215	5910777.0
NM_004975	KCNB1	0.0	0.0	2577	5910777.0
NM_001080824	LOC129293	8.14445271132	66.0	1371	5910777.0
NM_144646	IGJ	0.0	0.0	480	5910777.0
NM_144647	CAPSL	1.34914270301	5.0	627	5910777.0
NM_144644	SPATA4	0.368589313634	2.0	918	5910777.0
NM_000156	GAMT	7.85235208666	33.0	711	5910777.0
NM_144642	SYNPR	0.0	0.0	798	5910777.0
NM_144643	SCLT1	15.7150648437	192.0	2067	5910777.0
NM_001161546	LOC389333	0.111012135799	2.0	3048	5910777.0
NM_000152	GAA	3.25464750706	55.0	2859	5910777.0
NM_004973	JARID2	7.05492360691	156.0	3741	5910777.0
NM_001008783	SLC35D3	0.0	0.0	1251	5910777.0
NM_000159	GCDH	18.883695337	147.0	1317	5910777.0
NM_000158	GBE1	37.1415339808	463.0	2109	5910777.0
NM_144648	LRGUK	0.136547614978	2.0	2478	5910777.0
NM_144649	TMEM71	0.0	0.0	831	5910777.0
NM_021020	LZTS1	0.0	0.0	1791	5910777.0
NM_021021	SNTB1	0.732391753065	7.0	1617	5910777.0
NM_021023	CFHR3	0.0	0.0	993	5910777.0
NM_021025	TLX3	6.75957457024	35.0	876	5910777.0
NM_001142633	PIK3R5	0.0	0.0	2643	5910777.0
NM_021027	UGT1A9	0.0	0.0	1593	5910777.0
NM_021029	RPL36A	2.10819308359	4.0	321	5910777.0
NM_174856	IDH3B	43.1391262072	179.0	702	5910777.0
NM_015556	SIPA1L1	14.746839819	472.0	5415	5910777.0
NM_173536	GABRG1	0.0	0.0	1398	5910777.0
NM_004445	EPHB6	0.0	0.0	3066	5910777.0
NM_173535	CLEC4F	0.0	0.0	1770	5910777.0
NM_173533	TDRD5	0.0	0.0	2946	5910777.0
NM_173531	ZNF100	2.18098980609	21.0	1629	5910777.0
NM_015554	GLCE	3.74136046023	41.0	1854	5910777.0
NM_173538	CNBD1	0.0	0.0	1311	5910777.0
NM_001001952	OR5D18	0.0	0.0	942	5910777.0
NM_001001953	OR10G9	0.0	0.0	936	5910777.0
NM_001102445	RGS4	0.558358069168	3.0	909	5910777.0
NM_001001956	OR13C9	0.0	0.0	957	5910777.0
NM_001001957	OR2W3	0.0	0.0	945	5910777.0
NM_001001954	OR5A2	0.0	0.0	975	5910777.0
NM_001001955	OR4C13	0.0	0.0	930	5910777.0
NM_001001958	OR7G3	0.0	0.0	939	5910777.0
NM_001001959	OR11L1	0.0	0.0	969	5910777.0
NM_015559	SETBP1	1.30656487444	37.0	4791	5910777.0
NM_201574	SLC4A3	0.0447572737984	1.0	3780	5910777.0
NM_201575	SEZ6L2	2.10472185458	34.0	2733	5910777.0
NM_001011724	HNRNPA1L2	0.351365513931	2.0	963	5910777.0
NM_003353	UCN	1.35345995966	3.0	375	5910777.0
NM_003350	UBE2V2	97.3378738114	252.0	438	5910777.0
NM_006271	S100A1	0.0	0.0	285	5910777.0
NM_139343	BIN1	36.6467132737	386.0	1782	5910777.0
NM_006277	ITSN2	6.70884648243	202.0	5094	5910777.0
NM_006274	CCL19	0.0	0.0	297	5910777.0
NM_006275	SFRS6	42.0095663809	257.0	1035	5910777.0
NM_001002030	ECHDC1	69.6523958271	373.0	906	5910777.0
NM_001002031	ATP5G2	144.911588508	406.0	474	5910777.0
NM_003358	UGCG	35.5497394469	249.0	1185	5910777.0
NM_003359	UGDH	113.471895608	996.0	1485	5910777.0
NM_001002034	FAM109B	5.42251586404	25.0	780	5910777.0
NM_001002035	DEFB108B	0.0	0.0	222	5910777.0
NM_001002036	ASTL	0.130542048579	1.0	1296	5910777.0
NM_001145004	LOC727832	0.0	0.0	2253	5910777.0
NM_004810	GRAP2	0.0	0.0	993	5910777.0
NM_004811	LPXN	1.60293492208	11.0	1161	5910777.0
NM_004813	PEX16	15.0607562277	90.0	1011	5910777.0
NM_004814	SNRNP40	48.9904617616	311.0	1074	5910777.0
NM_004815	ARHGAP29	28.5992595808	640.0	3786	5910777.0
NM_020199	C5orf15	45.5817498947	215.0	798	5910777.0
NM_004817	TJP2	8.33364654705	176.0	3573	5910777.0
NM_004818	DDX23	39.4278327673	574.0	2463	5910777.0
NM_020196	XAB2	27.6700342221	420.0	2568	5910777.0
NM_020195	SDR39U1	13.6189990272	71.0	882	5910777.0
NM_020194	MFF	78.4257046598	477.0	1029	5910777.0
NM_020193	C11orf30	10.4007379112	244.0	3969	5910777.0
NM_020192	C7orf36	26.3338391564	106.0	681	5910777.0
NM_020191	MRPS22	69.2039199135	443.0	1083	5910777.0
NM_020190	OLFML3	0.0	0.0	1221	5910777.0
NM_152221	CSNK1E	72.0817504497	533.0	1251	5910777.0
NM_014315	KLHDC2	26.8807567746	194.0	1221	5910777.0
NM_182970	RIMS4	0.626601833178	3.0	810	5910777.0
NM_032961	PCDH10	0.0	0.0	3123	5910777.0
NM_005664	MKRN3	3.88542475297	35.0	1524	5910777.0
NM_006712	FASTK	18.0461327955	176.0	1650	5910777.0
NM_032965	CCL15	0.0	0.0	342	5910777.0
NM_032966	CXCR5	0.0	0.0	984	5910777.0
NM_145119	PJA1	7.88117212537	90.0	1932	5910777.0
NM_003689	AKR7A2	13.9418907882	89.0	1080	5910777.0
NM_205856	SPACA5	0.0	0.0	480	5910777.0
NM_014310	RASD2	0.211214101071	1.0	801	5910777.0
NM_145314	UCMA	0.0	0.0	417	5910777.0
NM_003680	YARS	174.192940618	1634.0	1587	5910777.0
NM_032830	CIRH1A	79.3786863776	967.0	2061	5910777.0
NM_003682	MADD	18.7182088879	547.0	4944	5910777.0
NM_003683	RRP1	55.6617732329	456.0	1386	5910777.0
NM_003684	MKNK1	9.31834915004	77.0	1398	5910777.0
NM_003685	KHSRP	90.6900546474	1145.0	2136	5910777.0
NM_003687	PDLIM4	0.0	0.0	993	5910777.0
NM_003176	SYCP1	0.0	0.0	2931	5910777.0
NM_003177	SYK	0.0	0.0	1908	5910777.0
NM_003175	XCL2	0.0	0.0	345	5910777.0
NM_003172	SURF1	15.9252625376	85.0	903	5910777.0
NM_001013618	IGLL3	0.0	0.0	675	5910777.0
NM_001127328	ACADM	60.7627270624	459.0	1278	5910777.0
NM_006411	AGPAT1	30.3813635312	153.0	852	5910777.0
NM_130434	DPP8	13.0926430602	205.0	2649	5910777.0
NM_001128844	SMARCA4	57.8313949189	1690.0	4944	5910777.0
NM_001127325	MAD2L2	47.6158279834	179.0	636	5910777.0
NM_001127322	CBX5	58.1564826418	198.0	576	5910777.0
NM_001127323	GRM8	0.0	0.0	2727	5910777.0
NM_006418	OLFM4	0.0	0.0	1533	5910777.0
NM_006419	CXCL13	0.0	0.0	330	5910777.0
NM_002889	RARRES2	1.03160057901	3.0	492	5910777.0
NM_001098398	COPA	165.115168634	3613.0	3702	5910777.0
NM_001113347	ECE1	77.7927414233	1047.0	2277	5910777.0
NM_002887	RARS	170.206292204	1995.0	1983	5910777.0
NM_002886	RAP2B	33.7139029807	110.0	552	5910777.0
NM_002881	RALB	27.2435579642	100.0	621	5910777.0
NM_002880	RAF1	59.7830285213	688.0	1947	5910777.0
NM_002883	RANGAP1	119.501921042	1246.0	1764	5910777.0
NM_002882	RANBP1	73.9824441648	265.0	606	5910777.0
NM_024298	MBOAT7	33.2642114822	279.0	1419	5910777.0
NM_024299	PPDPF	113.769098059	232.0	345	5910777.0
NM_020890	KIAA1524	35.4175274581	569.0	2718	5910777.0
NM_004444	EPHB4	20.4343229403	358.0	2964	5910777.0
NM_024292	UBL5	83.8291641683	110.0	222	5910777.0
NM_024293	FAM134A	29.544737171	285.0	1632	5910777.0
NM_024294	C6orf106	30.554698086	162.0	897	5910777.0
NM_024295	DERL1	52.5897967131	235.0	756	5910777.0
NM_024296	CCDC28B	7.57533559513	27.0	603	5910777.0
NM_024297	PHF23	30.4305147697	218.0	1212	5910777.0
NM_032507	PGBD1	4.94319223951	71.0	2430	5910777.0
NM_032505	KBTBD8	2.24827235825	24.0	1806	5910777.0
NM_032504	C2orf21	0.0	0.0	9777	5910777.0
NM_032501	ACSS1	0.163461347785	2.0	2070	5910777.0
NM_001469	XRCC6	163.63552791	1770.0	1830	5910777.0
NM_001081552	SPAG11A	0.0	0.0	327	5910777.0
NM_001081550	THOC2	36.6526693384	1036.0	4782	5910777.0
NM_001081551	DEFB103B	0.0	0.0	204	5910777.0
NM_001466	FZD2	10.9599967287	110.0	1698	5910777.0
NM_001010866	TMEM201	14.4931569048	101.0	1179	5910777.0
NM_001004195	OR4F4	0.0	0.0	918	5910777.0
NM_004104	FASN	182.023841444	8108.0	7536	5910777.0
NM_003432	ZNF131	43.6815820315	457.0	1770	5910777.0
NM_001010895	C9orf102	7.51394905143	95.0	2139	5910777.0
NM_002087	GRN	54.1156128653	570.0	1782	5910777.0
NM_001010896	C10orf113	0.0	0.0	438	5910777.0
NM_001010891	MTX3	13.5129788305	75.0	939	5910777.0
NM_002080	GOT2	67.3851391364	515.0	1293	5910777.0
NM_001010893	SLC10A5	0.899223587476	7.0	1317	5910777.0
NM_001145297	EXOC7	27.2009899049	355.0	2208	5910777.0
NM_001462	FPR2	0.0	0.0	1056	5910777.0
NM_001004196	CD200	0.0	0.0	885	5910777.0
NM_016321	RHCG	0.0	0.0	1440	5910777.0
NM_002088	GRIK5	0.0	0.0	2943	5910777.0
NM_031938	BCO2	0.0	0.0	1740	5910777.0
NM_007009	ZPBP	0.0	0.0	1056	5910777.0
NM_014008	CCDC22	6.73497193304	75.0	1884	5910777.0
NM_014009	FOXP3	0.0	0.0	1296	5910777.0
NM_019891	ERO1LB	2.28950669815	19.0	1404	5910777.0
NM_014007	ZBTB43	20.8465609884	173.0	1404	5910777.0
NM_004101	F2RL2	0.60153775985	4.0	1125	5910777.0
NM_014002	IKBKE	3.14611799085	40.0	2151	5910777.0
NM_014003	DHX38	35.8663215424	781.0	3684	5910777.0
NM_014000	VCL	151.941283284	3058.0	3405	5910777.0
NM_006530	YEATS4	33.6386247285	136.0	684	5910777.0
NM_018231	SLC38A7	10.4749420924	86.0	1389	5910777.0
NM_018230	NUP133	42.1128423059	864.0	3471	5910777.0
NM_018233	OGFOD1	49.435768938	476.0	1629	5910777.0
NM_018232	FAM21B	0.0	0.0	3762	5910777.0
NM_018235	CNDP2	25.709104626	217.0	1428	5910777.0
NM_001039140	C20orf27	33.2725573417	118.0	600	5910777.0
NM_018237	CCAR1	52.1315304475	1064.0	3453	5910777.0
NM_000330	RS1	0.0	0.0	675	5910777.0
NM_018238	AGK	14.9317883651	112.0	1269	5910777.0
NM_018584	CAMK2N1	1.42770037939	2.0	237	5910777.0
NM_004335	BST2	193.484952797	621.0	543	5910777.0
NM_002229	JUNB	45.0505111095	278.0	1044	5910777.0
NM_002228	JUN	26.8381869512	158.0	996	5910777.0
NM_002559	P2RX3	0.0	0.0	1194	5910777.0
NM_000332	ATXN1	2.28064637811	33.0	2448	5910777.0
NM_002594	PCSK2	0.0	0.0	1917	5910777.0
NM_133372	FNIP1	12.5642526961	260.0	3501	5910777.0
NM_001080495	TNRC18	13.8468663775	729.0	8907	5910777.0
NM_002221	ITPKB	2.56066430243	43.0	2841	5910777.0
NM_002552	ORC4L	17.5505868149	136.0	1311	5910777.0
NM_002223	ITPR2	3.94466957156	189.0	8106	5910777.0
NM_002550	OR3A1	0.0	0.0	948	5910777.0
NM_002225	IVD	18.7540314473	142.0	1281	5910777.0
NM_002224	ITPR3	42.0212509308	1991.0	8016	5910777.0
NM_002227	JAK1	57.3218612065	1174.0	3465	5910777.0
NM_002226	JAG2	10.7417457116	236.0	3717	5910777.0
NM_001039469	MARK2	25.5167514575	357.0	2367	5910777.0
NM_001004063	OR4K1	0.0	0.0	936	5910777.0
NM_001080497	MEGF9	39.2996837246	446.0	1920	5910777.0
NM_001004065	AKAP2	0.594248313867	10.0	2847	5910777.0
NM_001004064	OR8J3	0.0	0.0	948	5910777.0
NM_001004067	NOMO3	0.0922226737301	2.0	3669	5910777.0
NM_001080490	PLA2G4E	0.0	0.0	2520	5910777.0
NM_007104	RPL10A	82.5217368373	319.0	654	5910777.0
NM_001039465	SFRS5	135.511253593	656.0	819	5910777.0
NM_001039464	C1orf175	0.0	0.0	3972	5910777.0
NM_007007	CPSF6	60.1742086535	589.0	1656	5910777.0
NM_153839	GPR111	0.0	0.0	1929	5910777.0
NM_001009955	SSBP3	3.58305468143	23.0	1086	5910777.0
NM_005688	ABCC5	10.4709610927	267.0	4314	5910777.0
NM_000486	AQP2	0.0	0.0	816	5910777.0
NM_005686	SOX13	5.43121974183	60.0	1869	5910777.0
NM_005687	FARSB	79.7164976242	834.0	1770	5910777.0
NM_005684	GPR52	0.0	0.0	1086	5910777.0
NM_007005	TLE4	4.29878001831	59.0	2322	5910777.0
NM_000448	RAG1	0.0	0.0	3132	5910777.0
NM_001122742	ESR1	0.0	0.0	1788	5910777.0
NM_005680	TAF1B	3.6383332249	38.0	1767	5910777.0
NM_005681	TAF1A	27.7594337625	222.0	1353	5910777.0
NM_018055	NODAL	0.0	0.0	1044	5910777.0
NM_033109	PNPT1	53.5888430033	745.0	2352	5910777.0
NM_001130009	GEN1	7.50681404104	121.0	2727	5910777.0
NM_018056	TMEM39B	12.6972663559	111.0	1479	5910777.0
NM_018051	WDR60	3.85826995687	73.0	3201	5910777.0
NM_018050	MANSC1	0.522168194315	4.0	1296	5910777.0
NM_018053	XKR8	1.85132359802	13.0	1188	5910777.0
NM_018052	VAC14	17.9337766047	249.0	2349	5910777.0
NM_033100	PCDH21	0.0	0.0	2580	5910777.0
NM_001130002	C3orf55	0.829325955676	2.0	408	5910777.0
NM_033102	SLC45A3	2.54486304088	25.0	1662	5910777.0
NM_033103	RHPN2	1.97010183357	24.0	2061	5910777.0
NM_018059	RADIL	0.0	0.0	3228	5910777.0
NM_018058	CRTAC1	0.0	0.0	1986	5910777.0
NM_033106	GALP	0.0	0.0	351	5910777.0
NM_033107	GTPBP10	28.6331198511	197.0	1164	5910777.0
NM_013390	TMEM2	25.3447764605	622.0	4152	5910777.0
NM_181532	ERAS	0.0	0.0	702	5910777.0
NM_004637	RAB7A	268.956786856	992.0	624	5910777.0
NM_003164	STX5	34.8503266767	220.0	1068	5910777.0
NM_001001556	GALK2	9.81862693952	78.0	1344	5910777.0
NM_005641	TAF6	32.0232352796	385.0	2034	5910777.0
NM_004327	BCR	23.4975687442	530.0	3816	5910777.0
NM_013237	PRELID1	60.4955588031	236.0	660	5910777.0
NM_004322	BAD	23.3585298758	70.0	507	5910777.0
NM_007098	CLTCL1	3.33347593153	97.0	4923	5910777.0
NM_001142353	PPP3CB	28.4115089758	265.0	1578	5910777.0
NM_025251	KIAA1688	3.59101857758	71.0	3345	5910777.0
NM_033364	C3orf15	0.0	0.0	2304	5910777.0
NM_004321	KIF1A	0.0	0.0	5073	5910777.0
NM_033360	KRAS	17.2150608905	58.0	570	5910777.0
NM_012373	OR3A3	0.0	0.0	966	5910777.0
NM_079834	SCAMP4	13.2403691706	54.0	690	5910777.0
NM_012377	OR7C2	0.0	0.0	960	5910777.0
NM_012374	OR4D1	0.0	0.0	933	5910777.0
NM_012375	OR52A1	0.0	0.0	939	5910777.0
NM_012378	OR8B8	0.0	0.0	936	5910777.0
NM_014911	AAK1	2.75522427686	47.0	2886	5910777.0
NM_014912	CPEB3	1.04881851905	13.0	2097	5910777.0
NM_014913	ADNP2	14.3974502482	289.0	3396	5910777.0
NM_014915	ANKRD26	7.87738482271	239.0	5133	5910777.0
NM_014916	LMTK2	12.2237352297	326.0	4512	5910777.0
NM_014918	CHSY1	4.0030727325	57.0	2409	5910777.0
NM_005023	PGGT1B	12.2336548382	82.0	1134	5910777.0
NM_005020	PDE1C	0.177619417279	2.0	1905	5910777.0
NM_005021	ENPP3	0.0	0.0	2628	5910777.0
NM_005026	PIK3CD	0.755519913688	14.0	3135	5910777.0
NM_005027	PIK3R2	25.2187898291	326.0	2187	5910777.0
NM_005024	SERPINB10	0.0	0.0	1194	5910777.0
NM_005025	SERPINI1	1.78375704335	13.0	1233	5910777.0
NM_033030	BOLL	0.0	0.0	852	5910777.0
NM_181537	KRT27	0.0	0.0	1380	5910777.0
NM_080414	VPS16A	0.0	0.0	972	5910777.0
NM_176801	ADD1	36.9156374116	434.0	1989	5910777.0
NM_001005338	OR5H1	0.0	0.0	942	5910777.0
NM_001005339	RGS10	16.4224766168	53.0	546	5910777.0
NM_177400	NKX6-2	0.0	0.0	834	5910777.0
NM_177401	MIDN	37.5159477092	312.0	1407	5910777.0
NM_004962	GDF10	0.0	0.0	1437	5910777.0
NM_001034837	KCNIP1	0.0	0.0	684	5910777.0
NM_001034832	SSX4B	0.0	0.0	567	5910777.0
NM_001042690	C4orf44	0.202129623606	1.0	837	5910777.0
NM_001002814	RAB11FIP1	2.10819308359	48.0	3852	5910777.0
NM_001042693	FAM159A	0.0	0.0	573	5910777.0
NM_001129730	ZNF837	0.106004069523	1.0	1596	5910777.0
NM_001042697	ZSWIM7	11.9987585077	30.0	423	5910777.0
NM_017417	GALNT8	0.0	0.0	1914	5910777.0
NM_001856	COL16A1	1.68655446687	48.0	4815	5910777.0
NM_001855	COL15A1	0.812011014917	20.0	4167	5910777.0
NM_022916	VPS33A	27.110762732	287.0	1791	5910777.0
NM_001853	COL9A3	0.0823272481547	1.0	2055	5910777.0
NM_001018090	GCOM1	1.33053383814	13.0	1653	5910777.0
NM_001851	COL9A1	0.0	0.0	2766	5910777.0
NM_001850	COL8A1	5.98005239449	79.0	2235	5910777.0
NM_153260	LRRC57	20.20790912	86.0	720	5910777.0
NM_001859	SLC31A1	19.1917315397	65.0	573	5910777.0
NM_001858	COL19A1	0.0	0.0	3429	5910777.0
NM_005235	ERBB4	0.516982413928	12.0	3927	5910777.0
NM_013233	STK39	13.6337541724	132.0	1638	5910777.0
NM_024618	NLRX1	1.50230357545	26.0	2928	5910777.0
NM_152522	ARL6IP6	13.9122169128	56.0	681	5910777.0
NM_206866	BACH1	27.1640821846	355.0	2211	5910777.0
NM_182663	RASSF5	0.0	0.0	1257	5910777.0
NM_206862	TACC2	5.12500380341	268.0	8847	5910777.0
NM_153261	TMEM188	3.54928311101	9.0	429	5910777.0
NM_152525	ALS2CR11	0.0	0.0	1872	5910777.0
NM_025248	SNIP	0.0476302069138	1.0	3552	5910777.0
NM_001148	ANK2	0.0854888807266	6.0	11874	5910777.0
NM_004319	ASTN1	0.0	0.0	3885	5910777.0
NM_014435	NAAA	5.4827660403	35.0	1080	5910777.0
NM_004649	C21orf33	20.5450861287	98.0	807	5910777.0
NM_032039	ITFG3	16.8264687571	165.0	1659	5910777.0
NM_001141	ALOX15B	0.0	0.0	2031	5910777.0
