RefSeq_Accession	Gene_Name	Expression_Level_(rpkM)	Read_Count	Feature_Length	Total_Mapped_Reads
NM_002220	ITPKA	0.687564814157	6.0	1386	6296140.0
NM_001003806	TARP	0.0	0.0	336	6296140.0
NM_001143986	TLE6	0.0	0.0	1719	6296140.0
NM_003621	PPFIBP2	0.241470881141	4.0	2631	6296140.0
NM_001143980	CCDC154	0.0	0.0	2004	6296140.0
NM_001143981	CHRDL1	1.26877428669	11.0	1377	6296140.0
NM_016648	LARP7	23.2474744711	256.0	1749	6296140.0
NM_016649	ESF1	25.1041857263	404.0	2556	6296140.0
NM_003626	PPFIA1	16.5472788857	376.0	3609	6296140.0
NM_016644	PRR16	1.31417530082	7.0	846	6296140.0
NM_016645	NGRN	18.7705194265	78.0	660	6296140.0
NM_016642	SPTBN5	0.0	0.0	10920	6296140.0
NM_001143989	NBPF4	0.0	0.0	1917	6296140.0
NM_016640	MRPS30	260.260471279	2163.0	1320	6296140.0
NM_016641	GDE1	32.6903933478	205.0	996	6296140.0
NM_001080821	ZNF799	0.0	0.0	1932	6296140.0
NM_017418	DEC1	0.0	0.0	213	6296140.0
NM_001080825	TMEM120B	14.4813283358	93.0	1020	6296140.0
NM_001008781	FAT3	0.0232305795042	2.0	13674	6296140.0
NM_001080826	PRAGMIN	4.4527540281	118.0	4209	6296140.0
NM_018139	C14orf104	5.749124884	91.0	2514	6296140.0
NM_002854	PVALB	0.0	0.0	333	6296140.0
NM_001003803	ATP5S	18.1377051438	74.0	648	6296140.0
NM_001007532	STH	0.0	0.0	387	6296140.0
NM_144582	TEX261	54.5549523354	203.0	591	6296140.0
NM_205859	OR2K2	0.0	0.0	951	6296140.0
NM_001003800	BICD2	12.3078921114	199.0	2568	6296140.0
NM_001007533	DYSFIP1	1.02469336819	3.0	465	6296140.0
NM_205854	SFTA2	0.0	0.0	237	6296140.0
NM_017840	MRPL16	85.7164134982	408.0	756	6296140.0
NM_205850	SLC24A5	0.0	0.0	1503	6296140.0
NM_205853	MUSTN1	0.0	0.0	249	6296140.0
NM_205852	CLEC12B	0.0	0.0	699	6296140.0
NM_207119	LRRC20	0.286175625352	1.0	555	6296140.0
NM_181777	UBE2A	291.183698795	429.0	234	6296140.0
NM_004108	FCN2	0.0	0.0	942	6296140.0
NM_004109	FDX1	19.1737668986	67.0	555	6296140.0
NM_004106	FCER1G	0.0	0.0	261	6296140.0
NM_001464	ADAM2	0.0	0.0	2208	6296140.0
NM_004105	EFEMP1	355.5934901	3318.0	1482	6296140.0
NM_004102	FABP3	0.79018642821	2.0	402	6296140.0
NM_001463	FRZB	0.0	0.0	978	6296140.0
NM_001145316	DSN1	83.4919390995	563.0	1071	6296140.0
NM_007103	NDUFV1	139.586007712	1226.0	1395	6296140.0
NM_007102	GUCA2B	0.0	0.0	339	6296140.0
NM_007101	SARDH	0.0	0.0	2757	6296140.0
NM_007100	ATP5I	270.763023815	358.0	210	6296140.0
NM_007107	SSR3	330.178974196	1160.0	558	6296140.0
NM_007106	UBL3	35.8932140272	80.0	354	6296140.0
NM_007105	SLC22A18AS	0.416870005434	2.0	762	6296140.0
NM_181435	C1QTNF3	0.0	0.0	960	6296140.0
NM_000339	SLC12A3	0.0513506214259	1.0	3093	6296140.0
NM_000338	SLC12A1	0.0	0.0	3300	6296140.0
NM_007109	TCF19	7.03859702816	46.0	1038	6296140.0
NM_000484	APP	211.289291639	3077.0	2313	6296140.0
NM_000483	APOC2	0.0	0.0	306	6296140.0
NM_000482	APOA4	0.0	0.0	1191	6296140.0
NM_000481	AMT	0.0	0.0	1212	6296140.0
NM_016643	ZNF771	1.99782983736	12.0	954	6296140.0
NM_030615	KIF25	0.0	0.0	1155	6296140.0
NM_207112	HAGHL	5.09412281554	28.0	873	6296140.0
NM_001425	EMP3	469.057554711	1453.0	492	6296140.0
NM_001012968	SPIN4	44.4716921797	210.0	750	6296140.0
NM_030613	ZFP2	0.0	0.0	1386	6296140.0
NM_005801	EIF1	1260.86721249	2715.0	342	6296140.0
NM_001012961	C1orf84	11.8307241766	40.0	537	6296140.0
NM_001012967	DDX60L	1.98495571421	64.0	5121	6296140.0
NM_014174	THYN1	52.7082318817	225.0	678	6296140.0
NM_001012964	KLK6	0.0	0.0	735	6296140.0
NM_003824	FADD	91.6994336354	362.0	627	6296140.0
NM_012188	FOXI1	0.0	0.0	1137	6296140.0
NM_003826	NAPG	47.1915492094	279.0	939	6296140.0
NM_003827	NAPA	154.53483769	864.0	888	6296140.0
NM_003820	TNFRSF14	0.0	0.0	852	6296140.0
NM_003821	RIPK2	15.0705056678	154.0	1623	6296140.0
NM_003795	SNX3	364.426224259	1122.0	489	6296140.0
NM_012181	FKBP8	52.8146102778	413.0	1242	6296140.0
NM_012180	FBXO8	3.63979623494	22.0	960	6296140.0
NM_012183	FOXD3	0.0	0.0	1437	6296140.0
NM_012182	FOXB1	0.0	0.0	978	6296140.0
NM_003828	MTMR1	25.3583401353	319.0	1998	6296140.0
NM_012184	FOXD4L1	0.0	0.0	1227	6296140.0
NM_012186	FOXE3	0.0	0.0	960	6296140.0
NM_020733	HEG1	19.8438568578	518.0	4146	6296140.0
NM_001083335	ZFP112	1.79564246323	31.0	2742	6296140.0
NM_020731	AHRR	6.39721762505	87.0	2160	6296140.0
NM_001861	COX4I1	753.96335271	2421.0	510	6296140.0
NM_001146110	MIER1	41.8545350927	419.0	1590	6296140.0
NM_005806	OLIG2	0.0	0.0	972	6296140.0
NM_020734	RIMKLB	27.0868557019	198.0	1161	6296140.0
NM_020739	CCPG1	65.3748961555	936.0	2274	6296140.0
NM_005807	PRG4	0.0	0.0	4215	6296140.0
NM_004975	KCNB1	0.0	0.0	2577	6296140.0
NM_001080824	LOC129293	10.310463176	89.0	1371	6296140.0
NM_144646	IGJ	0.0	0.0	480	6296140.0
NM_144647	CAPSL	0.0	0.0	627	6296140.0
NM_144644	SPATA4	0.0	0.0	918	6296140.0
NM_000156	GAMT	24.3490779967	109.0	711	6296140.0
