RefSeq_Accession	Gene_Name	Expression_Level_(rpkM)	Read_Count	Feature_Length	Total_Mapped_Reads
NM_002220	ITPKA	0.626439607354	4.0	1386	4606993.0
NM_001003806	TARP	0.0	0.0	336	4606993.0
NM_001143986	TLE6	0.0	0.0	1719	4606993.0
NM_003621	PPFIBP2	0.0825014534201	1.0	2631	4606993.0
NM_001143980	CCDC154	0.0	0.0	2004	4606993.0
NM_001143981	CHRDL1	0.157633495968	1.0	1377	4606993.0
NM_016648	LARP7	22.3390727906	180.0	1749	4606993.0
NM_016649	ESF1	12.9931074194	153.0	2556	4606993.0
NM_003626	PPFIA1	31.2149701106	519.0	3609	4606993.0
NM_016644	PRR16	5.38804704836	21.0	846	4606993.0
NM_016645	NGRN	68.4072051231	208.0	660	4606993.0
NM_016642	SPTBN5	0.19877410618	10.0	10920	4606993.0
NM_001143989	NBPF4	0.0	0.0	1917	4606993.0
NM_016640	MRPS30	136.649969849	831.0	1320	4606993.0
NM_016641	GDE1	57.0984607173	262.0	996	4606993.0
NM_001080821	ZNF799	0.449402327015	4.0	1932	4606993.0
NM_017418	DEC1	0.0	0.0	213	4606993.0
NM_001080825	TMEM120B	8.29940356272	39.0	1020	4606993.0
NM_001008781	FAT3	0.0317480362656	2.0	13674	4606993.0
NM_001080826	PRAGMIN	7.94189686102	154.0	4209	4606993.0
NM_018139	C14orf104	8.3750789272	97.0	2514	4606993.0
NM_002854	PVALB	0.0	0.0	333	4606993.0
NM_001003803	ATP5S	8.37427947331	25.0	648	4606993.0
NM_001007532	STH	0.0	0.0	387	4606993.0
NM_144582	TEX261	19.465736327	53.0	591	4606993.0
NM_205859	OR2K2	0.0	0.0	951	4606993.0
NM_001003800	BICD2	21.6385120447	256.0	2568	4606993.0
NM_001007533	DYSFIP1	0.466798546125	1.0	465	4606993.0
NM_205854	SFTA2	0.0	0.0	237	4606993.0
NM_017840	MRPL16	47.6616134595	166.0	756	4606993.0
NM_205850	SLC24A5	0.0	0.0	1503	4606993.0
NM_205853	MUSTN1	0.871732224691	1.0	249	4606993.0
NM_205852	CLEC12B	0.0	0.0	699	4606993.0
NM_207119	LRRC20	2.34660890755	6.0	555	4606993.0
NM_181777	UBE2A	93.688862046	101.0	234	4606993.0
NM_004108	FCN2	0.0	0.0	942	4606993.0
NM_004109	FDX1	10.559740084	27.0	555	4606993.0
NM_004106	FCER1G	0.0	0.0	261	4606993.0
NM_001464	ADAM2	0.0	0.0	2208	4606993.0
NM_004105	EFEMP1	154.813643329	1057.0	1482	4606993.0
NM_004102	FABP3	1.61986062648	3.0	402	4606993.0
NM_001463	FRZB	0.0	0.0	978	4606993.0
NM_001145316	DSN1	36.4808947812	180.0	1071	4606993.0
NM_007103	NDUFV1	87.13572861	560.0	1395	4606993.0
NM_007102	GUCA2B	0.0	0.0	339	4606993.0
NM_007101	SARDH	0.0	0.0	2757	4606993.0
NM_007100	ATP5I	186.052563384	180.0	210	4606993.0
NM_007107	SSR3	124.4796123	320.0	558	4606993.0
NM_007106	UBL3	17.1686922897	28.0	354	4606993.0
NM_007105	SLC22A18AS	0.284857380509	1.0	762	4606993.0
NM_181435	C1QTNF3	2.48716100357	11.0	960	4606993.0
NM_000339	SLC12A3	0.0	0.0	3093	4606993.0
NM_000338	SLC12A1	0.0	0.0	3300	4606993.0
NM_007109	TCF19	19.2385759183	92.0	1038	4606993.0
NM_000484	APP	193.975683788	2067.0	2313	4606993.0
NM_000483	APOC2	0.0	0.0	306	4606993.0
NM_000482	APOA4	0.0	0.0	1191	4606993.0
NM_000481	AMT	0.71637400643	4.0	1212	4606993.0
NM_016643	ZNF771	3.86796908503	17.0	954	4606993.0
NM_030615	KIF25	0.0	0.0	1155	4606993.0
NM_207112	HAGHL	11.4373664394	46.0	873	4606993.0
NM_001425	EMP3	159.707722092	362.0	492	4606993.0
NM_001012968	SPIN4	10.4189435495	36.0	750	4606993.0
NM_030613	ZFP2	0.0	0.0	1386	4606993.0
NM_005801	EIF1	268.470584883	423.0	342	4606993.0
NM_001012961	C1orf84	8.08422063122	20.0	537	4606993.0
NM_001012967	DDX60L	4.15387809938	98.0	5121	4606993.0
NM_014174	THYN1	17.9283689397	56.0	678	4606993.0
NM_001012964	KLK6	0.0	0.0	735	4606993.0
NM_003824	FADD	37.042363098	107.0	627	4606993.0
NM_012188	FOXI1	0.0	0.0	1137	4606993.0
NM_003826	NAPG	16.8748420109	73.0	939	4606993.0
NM_003827	NAPA	76.5092279232	313.0	888	4606993.0
NM_003820	TNFRSF14	1.01906724858	4.0	852	4606993.0
NM_003821	RIPK2	16.8513412307	126.0	1623	4606993.0
NM_003795	SNX3	146.926990239	331.0	489	4606993.0
NM_012181	FKBP8	56.6246932039	324.0	1242	4606993.0
NM_012180	FBXO8	5.65263864448	25.0	960	4606993.0
NM_012183	FOXD3	0.302103443212	2.0	1437	4606993.0
NM_012182	FOXB1	0.0	0.0	978	4606993.0
NM_003828	MTMR1	20.6414672423	190.0	1998	4606993.0
NM_012184	FOXD4L1	0.0	0.0	1227	4606993.0
NM_012186	FOXE3	0.0	0.0	960	4606993.0
NM_020733	HEG1	37.0145576535	707.0	4146	4606993.0
NM_001083335	ZFP112	1.82071861809	23.0	2742	4606993.0
NM_020731	AHRR	18.4904090771	184.0	2160	4606993.0
NM_001861	COX4I1	303.034632649	712.0	510	4606993.0
NM_001146110	MIER1	33.4465562059	245.0	1590	4606993.0
NM_005806	OLIG2	0.0	0.0	972	4606993.0
NM_020734	RIMKLB	9.72195421646	52.0	1161	4606993.0
NM_020739	CCPG1	66.2447488215	694.0	2274	4606993.0
NM_005807	PRG4	0.0	0.0	4215	4606993.0
NM_004975	KCNB1	0.0	0.0	2577	4606993.0
NM_001080824	LOC129293	6.96622775618	44.0	1371	4606993.0
NM_144646	IGJ	0.0	0.0	480	4606993.0
NM_144647	CAPSL	1.73095154664	5.0	627	4606993.0
NM_144644	SPATA4	0.0	0.0	918	4606993.0
NM_000156	GAMT	15.2645094197	50.0	711	4606993.0
NM_144642	SYNPR	0.0	0.0	798	4606993.0
NM_144643	SCLT1	10.501273534	100.0	2067	4606993.0
NM_001161546	LOC389333	0.142428690255	2.0	3048	4606993.0
NM_000152	GAA	6.22561334864	82.0	2859	4606993.0
NM_004973	JARID2	8.06509597134	139.0	3741	4606993.0
NM_001008783	SLC35D3	0.0	0.0	1251	4606993.0
NM_000159	GCDH	21.9203918642	133.0	1317	4606993.0
NM_000158	GBE1	59.5915156785	579.0	2109	4606993.0
NM_144648	LRGUK	0.3503814753	4.0	2478	4606993.0
NM_144649	TMEM71	0.0	0.0	831	4606993.0
NM_021020	LZTS1	0.0	0.0	1791	4606993.0
NM_021021	SNTB1	1.34237058719	10.0	1617	4606993.0
NM_021023	CFHR3	0.0	0.0	993	4606993.0
NM_021025	TLX3	4.46016419072	18.0	876	4606993.0
NM_001142633	PIK3R5	0.0	0.0	2643	4606993.0
NM_021027	UGT1A9	0.0	0.0	1593	4606993.0
NM_021029	RPL36A	4.05722100838	6.0	321	4606993.0
NM_174856	IDH3B	40.5057456371	131.0	702	4606993.0
NM_015556	SIPA1L1	17.0762925211	426.0	5415	4606993.0
NM_173536	GABRG1	0.0	0.0	1398	4606993.0
NM_004445	EPHB6	0.0	0.0	3066	4606993.0
NM_173535	CLEC4F	0.0	0.0	1770	4606993.0
NM_173533	TDRD5	0.0	0.0	2946	4606993.0
NM_173531	ZNF100	2.26521946416	17.0	1629	4606993.0
NM_015554	GLCE	9.13202981012	78.0	1854	4606993.0
NM_173538	CNBD1	0.0	0.0	1311	4606993.0
NM_001001952	OR5D18	0.0	0.0	942	4606993.0
NM_001001953	OR10G9	0.0	0.0	936	4606993.0
NM_001102445	RGS4	0.238791335477	1.0	909	4606993.0
NM_001001956	OR13C9	0.0	0.0	957	4606993.0
NM_001001957	OR2W3	0.0	0.0	945	4606993.0
NM_001001954	OR5A2	0.0	0.0	975	4606993.0
NM_001001955	OR4C13	0.0	0.0	930	4606993.0
NM_001001958	OR7G3	0.0	0.0	939	4606993.0
NM_001001959	OR11L1	0.0	0.0	969	4606993.0
NM_015559	SETBP1	1.76693626257	39.0	4791	4606993.0
NM_201574	SLC4A3	0.0574236306741	1.0	3780	4606993.0
NM_201575	SEZ6L2	3.65342879679	46.0	2733	4606993.0
NM_001011724	HNRNPA1L2	1.80320933706	8.0	963	4606993.0
NM_003353	UCN	0.0	0.0	375	4606993.0
NM_003350	UBE2V2	87.2209886184	176.0	438	4606993.0
NM_006271	S100A1	0.0	0.0	285	4606993.0
NM_139343	BIN1	40.1965414719	330.0	1782	4606993.0
NM_006277	ITSN2	6.90301030224	162.0	5094	4606993.0
NM_006274	CCL19	0.0	0.0	297	4606993.0
NM_006275	SFRS6	50.3330606257	240.0	1035	4606993.0
NM_001002030	ECHDC1	71.3954465083	298.0	906	4606993.0
NM_001002031	ATP5G2	185.921724732	406.0	474	4606993.0
NM_003358	UGCG	14.6539290429	80.0	1185	4606993.0
NM_003359	UGDH	140.030133564	958.0	1485	4606993.0
NM_001002034	FAM109B	11.4096336947	41.0	780	4606993.0
NM_001002035	DEFB108B	0.0	0.0	222	4606993.0
NM_001002036	ASTL	0.0	0.0	1296	4606993.0
NM_001145004	LOC727832	0.0	0.0	2253	4606993.0
NM_004810	GRAP2	0.0	0.0	993	4606993.0
NM_004811	LPXN	1.30872460606	7.0	1161	4606993.0
NM_004813	PEX16	21.8993620601	102.0	1011	4606993.0
NM_004814	SNRNP40	47.0905851768	233.0	1074	4606993.0
NM_004815	ARHGAP29	38.6421902644	674.0	3786	4606993.0
NM_020199	C5orf15	30.1927405492	111.0	798	4606993.0
NM_004817	TJP2	5.83204228912	96.0	3573	4606993.0
NM_004818	DDX23	47.9420869784	544.0	2463	4606993.0
NM_020196	XAB2	24.1742751749	286.0	2568	4606993.0
NM_020195	SDR39U1	14.0277726361	57.0	882	4606993.0
NM_020194	MFF	92.6043937932	439.0	1029	4606993.0
NM_020193	C11orf30	9.297159252	170.0	3969	4606993.0
NM_020192	C7orf36	21.9929975807	69.0	681	4606993.0
NM_020191	MRPS22	54.7162894163	273.0	1083	4606993.0
NM_020190	OLFML3	0.0	0.0	1221	4606993.0
NM_152221	CSNK1E	63.1577313486	364.0	1251	4606993.0
NM_014315	KLHDC2	20.6217146421	116.0	1221	4606993.0
