"RefSeq.mRNA" "Transcript_length" "UTR_length"
"1" "NM_001662" 1103 405
"2" "NM_002355" 2756 1452
"3" "NM_004451" 2215 771
"4" "NM_002014" 3732 2164
"5" "NM_019885" 4732 2988
"6" "NM_144736" 2176 809
"7" "NM_032020" 2356 895
"8" "NM_001042610" 2079 1469
"9" "NM_005114" 8031 5931
"10" "NM_004186" 3802 959
"11" "NM_000492" 6132 1556
"12" "NM_000786" 3210 1513
"13" "NM_020886" 4669 1365
"14" "NM_178122" 2544 1537
"15" "NM_001322862" 5481 3790
"16" "NM_018487" 1261 251
"17" "NM_001164771" 7560 5414
"18" "NM_144617" 1458 953
"19" "NM_001130519" 2021 123
"20" "NM_002612" 3576 2141
"21" "" 526 159
"22" "NM_005402" 2880 1878
"23" "NM_018844" 4572 3506
"24" "NM_018842" 3622 1869
"25" "NM_006539" 3088 937
"26" "NM_017870" 3480 251
"27" "NM_004422" 3018 523
"28" "NM_001199816" 1032 554
"29" "NM_024604" 4370 2255
"30" "NM_001007245" 1834 7
"31" "NM_173355" 2224 1075
"32" "NM_144956" 1101 113
"33" "NM_006799" 1101 113
"34" "NM_005523" 2295 1280
"35" "NM_001304392" 3321 2015
"36" "NM_002996" 3321 2015
"37" "NM_015366" 1767 432
"38" "NM_024108" 805 263
"39" "NM_022827" 2719 189
"40" "NM_006890" 2489 35
"41" "NM_006890" 2489 1452
"42" "NM_001291485" 2489 35
"43" "NM_001291485" 2489 1452
"44" "NM_000626" 1269 485
"45" "NM_001040456" 1802 571
"46" "NM_001324415" 2050 975
"47" "NM_001324086" 2050 975
"48" "NM_058192" 2050 975
"49" "NM_001001410" 1243 196
"50" "NM_145798" 3640 918
"51" "" 2545 240
"52" "NM_005003" 717 7
"53" "NM_005003" 717 171
"54" "NM_015982" 1590 38
"55" "NM_015982" 1590 391
"56" "NM_001199898" 2384 960
"57" "NM_005501" 3665 463
"58" "NM_004138" 1287 26
"59" "NM_201650" 1615 23
"60" "NM_201650" 1615 338
"61" "NM_001012634" 1056 463
"62" "NM_172238" 1711 123
"63" "NM_001261462" 1667 914
"64" "NM_004075" 3267 637
"65" "NM_005091" 720 84
"66" "NM_032016" 1728 16
"67" "NM_032016" 1728 748
"68" "" 2612 36
"69" "" 2612 898
"70" "NM_001769" 1169 430
"71" "NM_001025159" 981 87
"72" "NM_001023" 626 142
"73" "" 1840 134
"74" "NM_145792" 901 367
"75" "NM_001868" 1487 76
"76" "NM_006754" 2127 1299
"77" "NM_005493" 3113 863
"78" "NM_000616" 3114 1478
"79" "NM_018173" 2881 359
"80" "NM_016305" 815 488
"81" "" 10969 1336
"82" "NM_006675" 4323 3441
"83" "" 2067 470
"84" "NM_017659" 2310 939
"85" "" 9524 1637
"86" "NM_001204284" 2109 505
"87" "NM_006247" 2109 505
"88" "" 796 52
"89" "NM_175748" 3694 2179
"90" "NM_198794" 4354 1493
"91" "NM_006575" 4354 1493
"92" "NM_006774" 2559 1750
"93" "NM_202001" 1278 113
"94" "" 833 29
"95" "" 833 96
"96" "" 833 372
"97" "" 833 155
"98" "NM_003979" 7362 5397
"99" "NM_015987" 1173 443
"100" "" 2652 948
"101" "NM_078470" 2356 1071
"102" "NM_017716" 1167 305
"103" "NM_005054" 7253 1796
"104" "NM_022167" 3507 859
"105" "NM_177439" 1986 8
"106" "NM_177439" 1986 563
