Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ZNF385D	ENST00000281523.2	zinc finger protein 385D 	5	1	0	0	1	4	1	1	2	1	hsa-miR-155-5p	-0.80	-0.80	0.64	
TMPRSS11BNL	ENST00000432593.3	TMPRSS11B N-terminal like 	5	1	1	0	0	2	1	1	0	0	hsa-miR-155-5p	-0.68	-0.68	0.24	2011
VAV3	ENST00000370056.4	vav 3 guanine nucleotide exchange factor 	1128	1	1	0	0	1	1	0	0	0	hsa-miR-155-5p	-0.64	-0.64	< 0.1	2009, 2011
ACTA1	ENST00000366684.3	actin, alpha 1, skeletal muscle 	14	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.59	-0.59	0.42	2007, 2009, 2011
ARID2	ENST00000457135.1	AT rich interactive domain 2 (ARID, RFX-like) 	891	2	1	1	0	0	0	0	0	1	hsa-miR-155-5p	-0.58	-0.58	0.71	2005, 2007, 2009, 2011
H3F3A	ENST00000366813.1	H3 histone, family 3A 	15	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.58	-0.58	0.34	2005, 2007, 2009, 2011
ETS1	ENST00000345075.4	v-ets avian erythroblastosis virus E26 oncogene homolog 1 	1423	2	2	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.57	-0.60	0.52	2005, 2007, 2009, 2011
ZNF652	ENST00000362063.2	zinc finger protein 652 	33	2	1	1	0	2	0	1	1	3	hsa-miR-155-5p	-0.57	-0.70	0.93	2005, 2007, 2009, 2011
VMA21	ENST00000330374.6	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae) 	2162	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.54	-0.54	< 0.1	2009, 2011
ACTL7A	ENST00000333999.3	actin-like 7A 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.53	-0.53	< 0.1	
TM6SF1	ENST00000379390.6	transmembrane 6 superfamily member 1 	211	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.53	-0.53	ORF	
CEBPB	ENST00000303004.3	CCAAT/enhancer binding protein (C/EBP), beta 	3178	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.52	-0.56	0.77	2005, 2007, 2009, 2011
FOS	ENST00000303562.4	FBJ murine osteosarcoma viral oncogene homolog 	3716	1	1	0	0	0	0	0	0	2	hsa-miR-155-5p	-0.52	-0.55	0.55	2009, 2011
WWC1	ENST00000265293.4	WW and C2 domain containing 1 	43	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.52	-0.52	0.94	2007, 2009, 2011
TAOK1	ENST00000261716.3	TAO kinase 1 	164	1	0	0	1	2	0	0	2	1	hsa-miR-155-5p	-0.51	-0.56	0.40	
TMEM202	ENST00000341689.3	transmembrane protein 202 	5	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.50	-0.74	< 0.1	2009, 2011
TSHZ3	ENST00000240587.4	teashirt zinc finger homeobox 3 	81	3	1	0	2	0	0	0	0	0	hsa-miR-155-5p	-0.50	-0.62	0.81	2007, 2009, 2011
ZIC3	ENST00000287538.5	Zic family member 3 	9	2	1	1	0	0	0	0	0	0	hsa-miR-155-5p	-0.49	-0.49	0.62	2005, 2007, 2009, 2011
FBXO33	ENST00000298097.7	F-box protein 33 	306	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.48	-0.48	0.50	2005, 2007, 2009, 2011
DYNC1I1	ENST00000447467.2	dynein, cytoplasmic 1, intermediate chain 1 	25	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.48	-0.48	0.40	2007, 2009, 2011
CSNK1A1	ENST00000261798.5	casein kinase 1, alpha 1 	769	1	0	0	1	2	1	1	0	1	hsa-miR-155-5p	-0.47	-0.68	0.72	2005, 2007
FGF7	ENST00000267843.4	fibroblast growth factor 7 	5	2	1	0	1	0	0	0	0	0	hsa-miR-155-5p	-0.47	-0.47	0.96	2005, 2007, 2009, 2011
GABRA1	ENST00000428797.2	gamma-aminobutyric acid (GABA) A receptor, alpha 1 	5	1	1	0	0	2	0	2	0	1	hsa-miR-155-5p	-0.46	-0.46	0.37	2009, 2011
CDX1	ENST00000231656.8	caudal type homeobox 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.46	-0.46	< 0.1	2009, 2011
CARHSP1	ENST00000396593.2	calcium regulated heat stable protein 1, 24kDa 	113	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.46	-0.49	0.52	2005, 2007, 2009, 2011
TCF4	ENST00000354452.3	transcription factor 4 	394	3	2	1	0	1	0	1	0	0	hsa-miR-155-5p	-0.46	-0.48	0.62	2009, 2011
RNF123	ENST00000327697.6	ring finger protein 123 	85	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.46	-0.47	0.36	2005, 2007, 2009, 2011
DET1	ENST00000564406.1	de-etiolated homolog 1 (Arabidopsis) 	5	1	1	0	0	1	0	1	0	1	hsa-miR-155-5p	-0.45	-0.45	0.23	2009, 2011
CYB561D1	ENST00000496961.1	cytochrome b561 family, member D1 	105	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.45	-0.48	0.34	2011
JARID2	ENST00000341776.2	jumonji, AT rich interactive domain 2 	199	2	2	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.45	-0.45	0.82	2009, 2011
MBNL3	ENST00000370839.3	muscleblind-like splicing regulator 3 	593	1	1	0	0	1	0	1	0	1	hsa-miR-155-5p	-0.44	-0.48	< 0.1	2011
NDFIP1	ENST00000253814.4	Nedd4 family interacting protein 1 	2478	1	1	0	0	1	0	0	1	1	hsa-miR-155-5p	-0.44	-0.68	0.11	2005, 2007, 2011
G2E3	ENST00000206595.6	G2/M-phase specific E3 ubiquitin protein ligase 	286	1	1	0	0	1	0	1	0	0	hsa-miR-155-5p	-0.43	-0.48	0.53	2009, 2011
C3orf18	ENST00000426034.1	chromosome 3 open reading frame 18 	29	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.43	-0.43	0.47	2005, 2007, 2009, 2011
RPS6KB1	ENST00000225577.4	ribosomal protein S6 kinase, 70kDa, polypeptide 1 	16	1	0	1	0	1	1	0	0	1	hsa-miR-155-5p	-0.43	-0.43	0.23	
WEE1	ENST00000299613.6	WEE1 homolog (S. pombe) 	331	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.43	-0.44	0.94	2005, 2007, 2009, 2011
BACH1	ENST00000286800.3	BTB and CNC homology 1, basic leucine zipper transcription factor 1 	273	3	1	2	0	1	0	1	0	0	hsa-miR-155-5p	-0.42	-0.44	0.79	2005, 2007, 2009, 2011
PICALM	ENST00000532317.1	phosphatidylinositol binding clathrin assembly protein 	1173	1	0	1	0	2	0	1	1	1	hsa-miR-155-5p	-0.42	-0.42	0.61	2005, 2007
CD274	ENST00000381573.4	CD274 molecule 	351	1	0	0	1	1	0	1	0	0	hsa-miR-155-5p	-0.41	-0.43	0.65	2011
RGP1	ENST00000378078.4	RGP1 retrograde golgi transport homolog (S. cerevisiae) 	203	1	1	0	0	0	0	0	0	1	hsa-miR-155-5p	-0.41	-0.43	0.37	
HNRNPA3	ENST00000411529.2	heterogeneous nuclear ribonucleoprotein A3 	329	2	1	1	0	1	0	0	1	1	hsa-miR-155-5p	-0.41	-0.57	0.44	2007, 2009, 2011
HERC4	ENST00000277817.6	HECT and RLD domain containing E3 ubiquitin protein ligase 4 	1138	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.41	-0.41	0.21	2009, 2011
BRWD3	ENST00000373275.4	bromodomain and WD repeat domain containing 3 	506	1	0	0	1	1	0	0	1	0	hsa-miR-155-5p	-0.41	-0.41	0.75	2011
MEIS1	ENST00000444274.2	Meis homeobox 1 	533	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.41	-0.41	0.55	2009, 2011
TP53INP1	ENST00000448464.2	tumor protein p53 inducible nuclear protein 1 	39	1	1	0	0	0	0	0	0	0	hsa-miR-155-5p	-0.41	-0.50	0.57	2005, 2007, 2009, 2011
